股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
000004.SZ,*ST国华,7.56,-5.025125628140708,跌停,0,9,,,, 09:30:00, 09:30:00,退市风险+业绩预亏+连续下跌,33,000004
000070.SZ,特发信息,19.11,-2.000000000000003,涨停,3,0, 09:30:00, 10:04:15,CPO+光纤光缆+商业航天+深圳国资,,,,33,000070
000533.SZ,顺钠股份,11.7,-2.5811823480433014,涨停,1,0, 10:17:30, 10:17:30,算力基建+干式变压器+北美出口,,,,33,000533
000609.SZ,ST中迪,10.5,5.0,涨停,6,0, 09:30:30, 09:30:30,半导体的人来了+房地产+创投,,,,33,000609
000628.SZ,高新发展,55.05,-1.4324082363473667,涨停,1,0, 13:07:08, 14:10:29,华鲲振宇并购预期+功率半导体+成都国资,,,,33,000628
000638.SZ,*ST万方,2.21,5.238095238095232,涨停,3,0, 09:39:45, 09:39:45,军工+退市风险+粮食,,,,33,000638
000669.SZ,ST金鸿,3.74,5.056179775280903,涨停,3,0, 09:30:00, 09:30:00,预重整+天然气+扭亏,,,,33,000669
000691.SZ,*ST亚太,8.55,-0.23337222870477914,涨停,1,0, 11:30:00, 11:30:00,重整完成+军工导入+精细化工+股东增持,,,,33,000691
000711.SZ,ST京蓝,3.14,5.0167224080267525,涨停,2,0, 09:31:15, 09:31:15,金属铟+ITO靶材+鑫联科技注入,,,,33,000711
000767.SZ,晋控电力,3.51,-3.03867403314918,涨停,1,0, 10:08:00, 10:08:00,电力改革+火电+业绩预增+山西国资,,,,33,000767
000820.SZ,*ST节能,3.97,3.926701570680638,涨停,3,0, 09:30:00, 09:40:30,控制权变动+固废处理+储能中标,,,,33,000820
000833.SZ,粤桂股份,22.73,1.2021371326803185,涨停,1,0, 09:53:30, 10:22:00,光伏银粉+硫铁矿+业绩预增+广东国资,,,,33,000833
000962.SZ,东方钽业,49.49,1.0206164523372117,涨停,2,0, 13:45:38, 14:44:13,钽铌制品+定增注册获批+商业航天,,,,33,000962
001270.SZ,*ST铖昌,121.77,0.6696428571428591,跌停,0,2,,,, 13:38:23, 13:48:08,退市风险+二次提示,33,001270
001330.SZ,博纳影业,10.85,-10.03316749585407,跌停,0,1,,,, 09:30:00, 09:30:00,板块回调+短线涨幅较大+资金流出+业绩预亏,33,001330
001896.SZ,豫能控股,9.12,10.012062726176117,涨停,2,0, 09:30:00, 09:30:00,参股算力+绿电储备+火电+河南国资,,,,33,001896
002080.SZ,中材科技,48.9,-1.9450571485863222,涨停,2,0, 13:33:08, 13:49:08,AI纤维布+风电叶片+央企背景,,,,33,002080
002131.SZ,利欧股份,8.83,-2.753303964757709,涨停,1,0, 13:54:38, 13:54:38,MSCI纳入+液冷泵+AI营销,,,,33,002131
002208.SZ,合肥城建,15.25,-2.118100128369705,涨停,1,0, 14:48:51, 14:48:51,长鑫科技+合肥国资+房地产,,,,33,002208
002248.SZ,华东数控,13.74,-1.9271948608137015,涨停,1,0, 09:32:30, 09:52:15,工业母机+业绩预增+高端装备,,,,33,002248
002272.SZ,川润股份,17.37,-4.139072847682119,涨停,1,0, 09:30:15, 09:30:15,液冷服务器+北美订单+绿色算力,,,,33,002272
002323.SZ,雅博股份,2.7,3.053435114503819,涨停,4,0, 09:37:15, 09:37:15,光伏建筑一体化+光伏设备+枣庄国资,,,,33,002323
002342.SZ,巨力索具,15.44,-9.970845481049558,跌停,0,1,,,, 09:30:00, 09:30:00,澄清不实传闻+估值差异+机构净卖,33,002342
002364.SZ,中恒电气,34.26,-2.0303116957392073,涨停,1,0, 11:08:22, 11:08:22,HVDC+智算中心+算力,,,,33,002364
002378.SZ,章源钨业,31.62,4.0131578947368505,涨停,2,0, 09:41:45, 14:02:27,钨价上涨+钨产业链+商业航天+业绩预增,,,,33,002378
002478.SZ,常宝股份,10.87,-3.8903625110521776,涨停,1,0, 10:37:37, 10:37:37,HRSG满产（用于燃机）+特材投产+核电管材,,,,33,002478
002485.SZ,ST雪发,4.56,-5.000000000000004,跌停,0,1,,,, 09:32:00, 09:32:00,实控人宣判+涨幅回调,33,002485
002498.SZ,汉缆股份,6.4,4.0650406504065035,涨停,1,0, 10:51:22, 14:52:21,特高压+海上风电+电网设备,,,,33,002498
002518.SZ,科士达,55.38,-0.7526881720430011,涨停,1,0, 11:15:37, 11:15:37,液冷服务器+储能+AI智算+数据中心,,,,33,002518
002520.SZ,日发精机,6.59,-1.7883755588673638,涨停,1,0, 10:06:45, 10:39:22,人形机器人+数控螺纹磨床+高端机床,,,,33,002520
