name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,66.94,67.04,67.04,20900.0,66.94,200,67.0,600,-0.15,67.08,66.94,20900,1400000.0,0.09,0.21,15.06,74.75,80.45,53.63,3.32
锡华科技,sh603248,22.65,22.65,22.61,26700.0,22.61,700,22.65,6600,0.0,22.65,22.58,26700,600000.0,0.04,0.31,15.7,104.19,24.92,20.39,2.2
天溯计量,sz301449,78.31,78.33,78.37,23100.0,78.3,500,78.37,200,-0.03,78.58,78.28,23100,1810000.0,0.17,0.38,10.9,51.07,94.0,62.66,5.68
美埃科技,sh688376,65.4,65.5,64.95,2971200.0,65.13,2000,65.27,900,-0.15,65.6,64.95,2971200,1940000.0,0.02,0.99,88.45,88.45,78.6,52.4,3.45
同飞股份,sz300990,86.29,87.8,86.05,117800.0,86.29,100,86.72,500,-1.72,87.0,86.05,117800,10160000.0,0.15,1.08,66.55,147.19,105.36,70.24,10.46
中光防雷,sz300414,15.22,15.24,15.2,80500.0,15.2,10200,15.22,500,-0.13,15.24,15.19,80500,1220000.0,0.03,0.33,47.72,49.62,18.29,12.19,1.66
苏州天脉,sz301626,173.32,174.46,174.13,2200.0,173.32,100,173.75,100,-0.65,174.13,173.0,2200,380000.0,0.0,0.65,91.2,200.5,209.35,139.57,0.5
ST名家汇,sz300506,5.03,5.07,5.07,406000.0,5.03,47800,5.07,4000,-0.79,5.09,5.03,406000,2060000.0,0.06,1.18,36.96,71.71,6.08,4.06,9.01
森赫股份,sz301056,16.29,16.24,16.2,73100.0,16.22,5300,16.29,1500,0.31,16.32,16.16,73100,1180000.0,0.04,0.99,28.67,43.46,19.49,12.99,4.63
宏达电子,sz300726,50.04,50.45,49.92,139900.0,49.94,200,50.04,4700,-0.81,50.2,49.9,139900,6990000.0,0.07,0.59,107.3,206.08,60.54,40.36,4.98
宏源药业,sz301246,21.24,21.2,21.22,96900.0,21.22,4000,21.25,2600,0.19,21.24,21.16,96900,2050000.0,0.06,0.38,33.99,84.96,25.44,16.96,2.44
华盛锂电,sh688353,105.99,106.95,106.0,2303500.0,105.6,200,105.98,800,-0.9,106.0,105.5,2303500,2440000.0,0.01,0.47,169.05,169.05,128.34,85.56,0.9
鼎泰高科,sz301377,179.1,182.66,180.54,51800.0,179.05,100,179.1,200,-1.95,181.44,179.1,51800,9350000.0,0.07,1.28,127.2,734.31,219.19,146.13,3.12
腾景科技,sh688195,225.38,231.22,226.0,11911200.0,225.38,300,225.8,200,-2.53,226.0,224.0,11911200,26870000.0,0.09,0.86,291.53,291.53,277.46,184.98,3.7
珂玛科技,sz301611,121.5,122.45,119.0,278600.0,121.04,200,121.48,200,-0.78,121.51,119.0,278600,33340000.0,0.19,2.05,178.1,529.74,146.94,97.96,6.79
新诺威,sz300765,34.87,34.39,34.63,66400.0,34.85,500,34.87,3100,1.4,34.88,34.63,66400,2310000.0,0.0,0.73,489.78,489.78,41.27,27.51,1.53
安达智能,sh688125,173.58,173.61,173.35,729800.0,173.58,2000,173.82,200,-0.02,173.59,173.35,729800,1270000.0,0.01,0.14,141.8,142.55,208.33,138.89,1.59
杰华特,sh688141,51.35,50.4,51.0,24952100.0,51.35,7500,51.99,1700,1.88,51.98,51.0,24952100,12800000.0,0.06,1.94,231.24,231.24,60.48,40.32,7.5
铜冠铜箔,sz301217,36.68,36.96,37.28,2298800.0,36.68,19200,36.72,100,-0.76,37.37,36.56,2298800,85350000.0,0.28,2.19,304.08,304.08,44.35,29.57,15.66
海科新源,sz301292,58.18,58.22,58.0,226500.0,58.14,1900,58.19,14600,-0.07,58.19,57.6,226500,13130000.0,0.27,1.01,49.49,129.62,69.86,46.58,3.43
奕东电子,sz301123,59.87,61.72,58.78,431300.0,59.87,200,59.98,1000,-3.0,59.99,58.78,431300,25440000.0,0.18,1.96,139.86,140.48,74.06,49.38,12.82
安通控股,sh600179,4.92,4.94,4.93,178300.0,4.92,36000,4.93,108200,-0.4,4.93,4.92,178300,880000.0,0.0,0.2,190.02,208.19,5.43,4.45,0.81
华联控股,sz000036,5.64,5.64,5.63,479600.0,5.63,53600,5.64,9000,0.0,5.64,5.62,479600,2700000.0,0.03,0.35,79.02,79.18,6.2,5.08,2.64
滨海能源,sz000695,12.47,12.5,12.46,28200.0,12.47,2600,12.48,100,-0.24,12.5,12.46,28200,350000.0,0.01,0.32,27.66,28.9,13.75,11.25,0.87
嘉美包装,sz002969,32.6,33.39,31.55,5785500.0,32.61,1200,32.75,27600,-2.37,32.75,31.55,5785500,183660000.0,0.53,3.59,355.43,357.43,36.73,30.05,16.26
联发股份,sz002394,13.79,13.75,13.83,72200.0,13.75,500,13.77,500,0.29,13.83,13.73,72200,1000000.0,0.02,0.73,44.58,44.64,15.13,12.38,2.64
海汽集团,sh603069,22.59,22.19,22.65,228400.0,22.55,1600,22.59,400,1.8,22.67,22.5,228400,5170000.0,0.07,0.77,71.38,71.38,24.41,19.97,8.42
胜通能源,sz001331,50.5,50.17,50.0,121500.0,50.18,100,50.44,100,0.66,50.74,49.99,121500,6100000.0,0.07,1.49,84.78,142.53,55.19,45.15,3.72
海南瑞泽,sz002596,4.37,4.33,4.37,1276800.0,4.36,79700,4.37,12400,0.92,4.38,4.35,1276800,5580000.0,0.11,0.69,50.1,50.15,4.76,3.9,7.49
多氟多,sz002407,29.75,29.91,29.6,666600.0,29.75,19500,29.76,1200,-0.53,29.76,29.6,666600,19750000.0,0.06,0.53,321.46,354.15,32.9,26.92,2.27
章源钨业,sz002378,31.62,30.4,31.47,9025200.0,31.61,5000,31.62,208200,4.01,31.93,31.28,9025200,284440000.0,0.76,2.14,377.9,379.89,33.44,27.36,23.78
神剑股份,sz002361,13.48,13.25,13.4,4008200.0,13.48,26700,13.49,6300,1.74,13.55,13.4,4008200,53840000.0,0.5,1.13,109.07,128.2,14.58,11.93,3.65
圣晖集成,sh603163,116.5,117.26,116.5,42200.0,116.39,300,116.5,1700,-0.65,116.8,116.0,42200,4920000.0,0.04,0.68,116.5,116.5,128.99,105.53,2.9
万润股份,sz002643,16.95,17.08,17.01,421500.0,16.95,29700,16.97,11600,-0.76,17.05,16.95,421500,7160000.0,0.05,0.59,154.13,156.44,18.79,15.37,6.23
快克智能,sh603203,38.71,39.01,38.7,28600.0,38.71,3800,38.96,1500,-0.77,38.8,38.5,28600,1110000.0,0.01,0.77,96.45,98.19,42.91,35.11,2.51
海南发展,sz002163,15.65,15.4,15.58,1129700.0,15.63,3600,15.65,22000,1.62,15.65,15.5,1129700,17610000.0,0.14,0.97,125.76,132.24,16.94,13.86,3.1
宏和科技,sh603256,73.0,73.27,73.33,966800.0,72.51,300,73.3,30100,-0.37,73.5,72.38,966800,70830000.0,0.11,1.53,642.2,642.2,80.6,65.94,9.31
亚翔集成,sh603929,141.55,140.88,141.0,59500.0,141.51,1200,141.86,2500,0.48,141.98,141.0,59500,8400000.0,0.03,0.7,302.01,302.01,154.97,126.79,3.13
世嘉科技,sz002796,49.16,48.4,48.39,981600.0,49.16,22200,49.37,1800,1.57,49.37,48.39,981600,47650000.0,0.43,2.02,111.94,124.06,53.24,43.56,11.32
深圳新星,sh603978,24.66,24.69,24.69,27200.0,24.61,700,24.66,100,-0.12,24.8,24.59,27200,670000.0,0.01,0.85,52.06,52.06,27.16,22.22,0.74
友邦吊顶,sz002718,67.64,67.27,68.0,50200.0,67.92,100,68.34,3800,0.55,68.27,66.54,50200,3400000.0,0.09,2.57,36.87,87.56,74.0,60.54,3.26
九鼎新材,sz002201,13.07,13.2,13.2,865700.0,13.07,18100,13.08,36200,-0.98,13.22,13.07,865700,11400000.0,0.14,1.14,78.68,85.17,14.52,11.88,2.77
国风新材,sz000859,10.97,10.88,10.84,1306900.0,10.96,400,10.97,81700,0.83,10.97,10.8,1306900,14200000.0,0.15,1.56,98.28,98.29,11.97,9.79,4.01
天际股份,sz002759,38.37,39.56,35.63,23473500.0,38.0,18700,38.37,100,-3.01,38.37,35.62,23473500,838710000.0,4.69,6.95,192.21,192.38,43.52,35.6,91.82
东材科技,sh601208,27.87,28.12,27.7,595100.0,27.87,16100,27.91,100,-0.89,27.9,27.7,595100,16510000.0,0.06,0.71,281.54,281.54,30.93,25.31,2.96
三孚股份,sh603938,26.04,26.28,25.99,67300.0,26.04,4800,26.08,200,-0.91,26.07,25.88,67300,1750000.0,0.02,0.72,99.64,99.64,28.91,23.65,1.66
航天工程,sh603698,34.26,35.87,34.1,628700.0,34.25,15200,34.5,1000,-4.49,34.88,34.1,628700,21480000.0,0.12,2.17,183.63,183.63,39.46,32.28,2.98
翔鹭钨业,sz002842,38.75,38.51,37.59,3235600.0,38.72,800,38.75,46600,0.62,38.9,37.59,3235600,122480000.0,1.21,3.4,104.03,126.78,42.36,34.66,13.63
天赐材料,sz002709,41.82,42.0,41.54,614100.0,41.82,2200,41.87,1100,-0.43,41.87,41.54,614100,25560000.0,0.04,0.79,629.16,850.57,46.2,37.8,2.76
安记食品,sh603696,18.82,18.74,18.8,88900.0,18.82,5400,18.88,3800,0.43,18.88,18.8,88900,1670000.0,0.04,0.43,44.26,44.26,20.61,16.87,1.2
柏诚股份,sh601133,16.85,16.97,16.9,154600.0,16.82,1200,16.85,3900,-0.71,16.9,16.81,154600,2610000.0,0.1,0.53,25.17,88.97,18.67,15.27,2.28
德尔未来,sz002631,5.76,5.76,5.76,98400.0,5.76,9100,5.77,4400,0.0,5.78,5.75,98400,570000.0,0.01,0.52,45.71,45.92,6.34,5.18,2.17
创元科技,sz000551,14.95,14.99,14.98,101200.0,14.94,1600,14.95,1200,-0.27,14.99,14.93,101200,1520000.0,0.02,0.4,72.21,72.47,16.49,13.49,1.68
浔兴股份,sz002098,10.02,10.0,10.0,29200.0,10.01,700,10.02,1100,0.2,10.04,10.0,29200,290000.0,0.01,0.4,35.87,35.87,11.0,9.0,0.98
合兴包装,sz002228,4.43,4.42,4.43,243800.0,4.43,103100,4.44,78000,0.23,4.44,4.42,243800,1080000.0,0.02,0.45,53.57,53.75,4.86,3.98,1.93
神农种业,sz300189,7.25,7.17,7.23,1978700.0,7.25,42900,7.26,198500,1.12,7.26,7.2,1978700,14310000.0,0.22,0.84,64.25,74.24,8.6,5.74,3.19
南宁百货,sh600712,6.39,6.38,6.38,54000.0,6.38,5900,6.39,72500,0.16,6.41,6.38,54000,340000.0,0.01,0.47,34.42,34.8,7.02,5.74,1.7
集泰股份,sz002909,7.41,7.44,7.44,234400.0,7.4,9900,7.41,10900,-0.4,7.45,7.4,234400,1740000.0,0.06,0.67,28.19,28.9,8.18,6.7,6.02
鹏辉能源,sz300438,48.59,48.99,49.05,257100.0,48.59,1100,48.61,600,-0.82,49.09,48.51,257100,12570000.0,0.06,1.18,196.38,244.57,58.79,39.19,2.63
大中矿业,sz001203,32.87,33.1,32.87,553600.0,32.85,3300,32.87,67900,-0.69,33.0,32.81,553600,18200000.0,0.04,0.57,432.34,503.92,36.41,29.79,4.53
菱电电控,sh688667,91.35,92.21,91.39,2885500.0,91.22,400,91.3,3300,-0.93,92.13,91.3,2885500,2640000.0,0.05,0.9,48.14,48.14,110.65,73.77,4.44
海南海药,sz000566,6.24,6.23,6.23,240200.0,6.24,30300,6.25,9400,0.16,6.26,6.23,240200,1500000.0,0.02,0.48,80.92,80.96,6.85,5.61,1.97
鲁信创投,sh600783,23.21,23.23,23.24,132400.0,23.19,400,23.21,7300,-0.09,23.25,23.19,132400,3080000.0,0.02,0.26,172.77,172.77,25.55,20.91,1.36
鸿富瀚,sz301086,128.39,131.1,129.49,58500.0,128.39,700,128.52,100,-2.07,130.73,128.39,58500,7570000.0,0.12,1.78,60.78,115.55,157.32,104.88,5.86
鹭燕医药,sz002788,15.56,15.52,15.52,213600.0,15.55,900,15.56,16300,0.26,15.56,15.52,213600,3320000.0,0.06,0.26,59.41,60.45,17.07,13.97,1.44
青鸟消防,sz002960,11.71,11.75,11.71,207000.0,11.7,12300,11.71,5600,-0.34,11.73,11.69,207000,2420000.0,0.03,0.34,87.56,102.5,12.93,10.58,3.38
和林微纳,sh688661,83.25,83.76,83.5,1208800.0,83.0,400,83.25,2300,-0.61,83.5,83.24,1208800,1010000.0,0.01,0.31,126.45,126.45,100.51,67.01,0.65
联特科技,sz301205,189.87,193.79,190.9,96400.0,189.25,200,189.88,3200,-2.02,190.9,189.2,96400,18350000.0,0.14,0.88,129.03,246.34,232.55,155.03,2.52
