股票代码,股票简称,最新价,最新涨跌幅,涨跌停,连续涨停天数,连续跌停天数,首次涨停时间,最终涨停时间,涨停原因类别,首次跌停时间,最终跌停时间,跌停原因类型,market_code,code
605318.SH,法狮龙,93.17,9.999999999999998,涨停,2,0, 10:16:23, 14:49:02,AI子公司+装配式建筑+亏损收窄,,,,17,605318
300489.SZ,光智科技,61.44,19.99999999999999,涨停,1,0, 09:47:12, 10:49:57,红外光学+卫星太阳能电池+MEMS探测器,,,,33,300489
000990.SZ,诚志股份,11.04,9.9601593625498,涨停,1,0, 11:25:45, 14:34:09,甲醇+氢能源+POE新材料+青岛国资,,,,33,000990
600599.SH,*ST熊猫,4.8,-4.9504950495049505,跌停,0,1,,,, 09:25:04, 09:25:04,退市风险+行政处罚,22,600599
002328.SZ,新朋股份,9.19,10.059880239520957,涨停,1,0, 09:48:18, 10:05:36,液冷服务器+汽车零部件+特斯拉+回购,,,,33,002328
600345.SH,长江通信,49.42,9.993322946806147,涨停,1,0, 10:37:08, 10:42:41,参股长飞光纤+商业航天+央企,,,,17,600345
000638.SZ,*ST万方,0.99,-4.807692307692312,跌停,0,8,,,, 09:25:00, 09:25:00,市值退市风险+连续风险提示+异常波动,33,000638
600608.SH,*ST沪科,2.44,-5.05836575875486,跌停,0,4,,,, 09:32:59, 09:32:59,退市风险+立案调查+异常波动,22,600608
600707.SH,彩虹股份,6.38,10.000000000000002,涨停,1,0, 09:31:34, 09:32:38,液晶面板+基板玻璃+国企改革,,,,17,600707
002645.SZ,华宏科技,21.29,10.02583979328164,涨停,1,0, 09:50:57, 09:50:57,稀土永磁+机器人+汽车拆解+扭亏为盈,,,,33,002645
002731.SZ,ST萃华,7.03,-5.000000000000002,跌停,0,1,,,, 13:01:51, 13:52:39,司法拍卖成交+股东被动减持+板块下跌,33,002731
002150.SZ,正泰电源,32.78,10.000000000000002,涨停,1,0, 13:38:00, 13:38:00,光伏逆变器+储能+外销,,,,33,002150
603929.SH,亚翔集成,198.99,10.000000000000002,涨停,1,0, 10:41:13, 10:41:13,IC洁净室+东南亚订单+年报增长,,,,17,603929
