name,code,now,close,open,volume,bid1,bid1_volume,ask1,ask1_volume,涨跌(%),high,low,成交量(手),成交额(万),turnover,振幅,流通市值,总市值,涨停价,跌停价,量比
纳百川,sz301667,120.65,115.69,111.21,9766900.0,120.64,700,120.65,400,4.29,123.8,108.0,9766900,1131970000.0,43.42,13.66,27.14,134.73,138.83,92.55,1.15
锡华科技,sh603248,25.01,25.08,24.91,5769400.0,25.0,63700,25.01,6900,-0.28,25.66,24.91,5769400,145220000.0,8.32,2.99,17.33,115.05,27.59,22.57,0.69
天溯计量,sz301449,79.97,79.17,78.36,1223500.0,79.96,2300,79.98,2000,1.01,80.65,78.05,1223500,97750000.0,8.79,3.28,11.13,52.15,95.0,63.34,0.7
美埃科技,sh688376,70.44,69.4,67.8,180044800.0,70.39,500,70.44,1100,1.5,71.3,67.8,180044800,125880000.0,1.33,5.04,95.27,95.27,83.28,55.52,0.79
同飞股份,sz300990,83.63,88.66,87.0,7307800.0,83.63,300,83.64,1500,-5.67,87.48,83.1,7307800,616430000.0,9.48,4.94,64.5,142.66,106.39,70.93,1.1
中光防雷,sz300414,14.7,14.48,14.48,13668900.0,14.7,25300,14.71,115900,1.52,14.75,14.31,13668900,199700000.0,4.36,3.04,46.09,47.92,17.38,11.58,1.35
苏州天脉,sz301626,259.66,264.99,264.98,1493500.0,259.55,1200,259.66,1100,-2.01,268.2,257.3,1493500,390880000.0,2.84,4.11,136.63,300.37,317.99,211.99,0.58
ST名家汇,sz300506,5.04,4.94,4.95,6400800.0,5.03,209400,5.04,68700,2.02,5.04,4.88,6400800,31730000.0,0.87,3.24,37.03,71.85,5.93,3.95,0.87
森赫股份,sz301056,15.15,14.84,14.76,5901800.0,15.12,11000,15.15,5800,2.09,15.34,14.5,5901800,88470000.0,3.35,5.66,26.66,40.42,17.81,11.87,0.76
宏达电子,sz300726,48.51,47.42,48.3,12004500.0,48.51,10300,48.54,100,2.3,49.61,47.97,12004500,586060000.0,5.6,3.46,104.02,199.78,56.9,37.94,1.59
宏源药业,sz301246,24.46,23.65,23.42,19479300.0,24.45,13000,24.46,25000,3.42,24.69,23.3,19479300,470640000.0,11.45,5.88,41.6,97.84,28.38,18.92,1.18
华盛锂电,sh688353,119.92,115.77,115.77,560630700.0,119.92,14800,119.93,600,3.58,120.88,114.1,560630700,663080000.0,3.51,5.86,191.27,191.27,138.92,92.62,0.81
鼎泰高科,sz301377,216.68,223.35,223.38,3564500.0,216.6,700,216.7,500,-2.99,227.8,215.13,3564500,782870000.0,5.02,5.67,153.89,888.39,268.02,178.68,0.73
腾景科技,sh688195,345.0,363.0,359.98,1028199500.0,345.0,33900,345.01,900,-4.96,361.98,335.1,1028199500,3566400000.0,7.95,7.4,446.26,446.26,435.6,290.4,0.95
珂玛科技,sz301611,111.58,106.7,106.81,17155900.0,111.57,700,111.58,3100,4.57,113.0,105.23,17155900,1885910000.0,11.7,7.28,163.56,486.49,128.04,85.36,1.03
新诺威,sz300765,30.79,31.06,31.06,7349300.0,30.79,1600,30.8,35700,-0.87,31.35,30.03,7349300,226230000.0,0.52,4.25,432.47,432.47,37.27,24.85,0.68
安达智能,sh688125,212.0,218.69,215.83,78602700.0,212.0,1700,212.76,200,-3.06,221.55,211.28,78602700,168770000.0,0.96,4.7,173.18,174.11,262.43,174.95,0.7
杰华特,sh688141,83.1,71.63,75.0,3696414200.0,83.09,2300,83.1,9600,16.01,84.7,70.48,3696414200,2873300000.0,8.21,19.85,374.22,374.22,85.96,57.3,2.83
铜冠铜箔,sz301217,47.0,48.28,47.5,26328400.0,47.0,33900,47.01,3000,-2.65,48.41,46.5,26328400,1242340000.0,3.18,3.96,389.64,389.64,57.94,38.62,0.55
海科新源,sz301292,84.35,83.76,81.0,18859100.0,84.34,300,84.35,5300,0.7,87.54,79.41,18859100,1581210000.0,22.17,9.71,71.76,187.93,100.51,67.01,0.9
奕东电子,sz301123,64.7,67.81,66.12,9369500.0,64.7,1700,64.71,1000,-4.59,67.35,64.31,9369500,612230000.0,4.01,4.48,151.14,151.81,81.37,54.25,0.69
安通控股,sh600179,4.34,4.4,4.38,29119200.0,4.34,72000,4.35,213600,-1.36,4.4,4.31,29119200,126500000.0,0.75,2.05,167.62,183.65,4.84,3.96,0.71
华联控股,sz000036,5.18,5.05,5.03,42500500.0,5.17,142200,5.18,62400,2.57,5.22,5.01,42500500,217720000.0,3.03,4.16,72.58,72.72,5.56,4.55,1.27
滨海能源,sz000695,14.67,14.57,14.48,9791500.0,14.67,9400,14.69,10700,0.69,14.89,14.3,9791500,143610000.0,4.41,4.05,32.54,34.0,16.03,13.11,0.72
嘉美包装,sz002969,21.61,21.54,21.41,36677600.0,21.61,33000,21.62,47900,0.32,22.2,21.21,36677600,799380000.0,3.36,4.6,236.04,237.38,23.69,19.39,0.74
联发股份,sz002394,12.38,13.75,12.38,5359400.0,0.0,0,12.38,4953400,-9.96,12.38,12.38,5359400,66350000.0,1.66,0.0,40.0,40.07,15.13,12.38,0.68
海汽集团,sh603069,16.72,16.65,16.63,4822100.0,16.72,5900,16.73,10500,0.42,16.98,16.55,4822100,80780000.0,1.53,2.58,52.84,52.84,18.32,14.99,0.81
胜通能源,sz001331,49.53,49.15,49.16,3161200.0,49.52,100,49.53,2300,0.77,50.14,48.94,3161200,156900000.0,1.88,2.44,83.15,139.79,54.07,44.24,0.84
海南瑞泽,sz002596,3.41,3.39,3.4,25123700.0,3.4,334800,3.41,18400,0.59,3.43,3.35,25123700,85220000.0,2.19,2.36,39.1,39.13,3.73,3.05,0.86
多氟多,sz002407,33.04,30.04,30.54,199211500.0,33.04,9488200,0.0,0,9.99,33.04,30.15,199211500,6341990000.0,18.47,9.62,356.42,393.32,33.04,27.04,1.91
章源钨业,sz002378,30.8,31.37,30.97,51061000.0,30.79,10000,30.8,66300,-1.82,31.4,30.01,51061000,1561040000.0,4.27,4.43,368.1,370.04,34.51,28.23,0.57
神剑股份,sz002361,21.46,22.99,22.77,321971700.0,21.45,687600,21.46,35100,-6.66,23.39,21.2,321971700,7154990000.0,39.79,9.53,173.64,204.09,25.29,20.69,0.95
圣晖集成,sh603163,104.18,104.57,103.0,1907400.0,104.16,300,104.2,900,-0.37,108.0,103.0,1907400,200980000.0,1.91,4.78,104.18,104.18,115.03,94.11,0.58
万润股份,sz002643,16.72,16.78,16.72,11929900.0,16.71,81400,16.72,81800,-0.36,16.94,16.64,11929900,200140000.0,1.31,1.79,152.03,154.32,18.46,15.1,0.92
快克智能,sh603203,45.92,45.28,45.01,7579000.0,45.91,1400,45.92,16500,1.41,47.1,44.72,7579000,348130000.0,3.04,5.26,114.41,116.48,49.81,40.75,0.86
海南发展,sz002163,11.84,12.18,12.16,24574500.0,11.84,38000,11.85,140000,-2.79,12.16,11.8,24574500,292660000.0,3.06,2.96,95.14,100.04,13.4,10.96,0.67
宏和科技,sh603256,107.0,105.89,103.72,25388400.0,106.99,20800,107.0,4500,1.05,110.0,103.57,25388400,2710900000.0,2.89,6.07,941.31,967.91,116.48,95.3,0.89
亚翔集成,sh603929,189.12,185.4,185.99,5929800.0,189.11,100,189.13,1000,2.01,199.2,185.0,5929800,1137350000.0,2.78,7.66,403.51,403.51,203.94,166.86,1.13
世嘉科技,sz002796,57.75,60.99,59.99,18010800.0,57.75,600,57.77,100,-5.31,60.34,57.0,18010800,1057100000.0,7.91,5.48,131.5,145.74,67.09,54.89,0.68
深圳新星,sh603978,25.49,24.25,24.25,13665100.0,25.48,8700,25.49,64400,5.11,25.84,24.06,13665100,344390000.0,6.47,7.34,53.81,53.81,26.68,21.83,1.78
友邦吊顶,sz002718,70.0,71.09,70.5,1369600.0,70.0,2200,70.05,500,-1.53,71.18,69.26,1369600,96300000.0,1.46,2.7,65.79,90.61,78.2,63.98,0.78
九鼎新材,sz002201,14.2,14.8,14.2,128817200.0,14.2,961400,14.21,32800,-4.05,15.28,14.2,128817200,1890480000.0,21.4,7.3,85.49,92.53,16.28,13.32,1.14
国风新材,sz000859,9.21,9.51,9.4,38568000.0,9.2,487700,9.21,166200,-3.15,9.69,9.17,38568000,360450000.0,4.3,5.47,82.51,82.52,10.46,8.56,0.76
天际股份,sz002759,33.41,31.95,31.78,48603400.0,33.41,240100,33.42,123500,4.57,33.66,31.63,48603400,1603270000.0,9.7,6.35,167.36,167.51,35.15,28.76,1.01
东材科技,sh601208,34.2,34.13,34.13,44640200.0,34.19,2900,34.2,81200,0.21,34.75,33.65,44640200,1522750000.0,4.42,3.22,345.48,345.48,37.54,30.72,0.61
三孚股份,sh603938,29.78,30.54,29.87,20319400.0,29.78,57200,29.79,2500,-2.49,30.46,29.31,20319400,606560000.0,5.31,3.77,113.95,113.95,33.59,27.49,0.84
航天工程,sh603698,40.5,43.1,42.74,47846100.0,40.49,6500,40.5,32900,-6.03,43.6,39.4,47846100,1960420000.0,8.93,9.74,217.08,217.08,47.41,38.79,0.8
翔鹭钨业,sz002842,31.95,32.31,31.97,26467600.0,31.94,22700,31.95,38800,-1.11,32.51,31.1,26467600,836700000.0,9.86,4.36,85.77,104.53,35.54,29.08,0.51
天赐材料,sz002709,53.04,49.41,49.42,155398200.0,53.03,193100,53.04,122700,7.35,54.22,48.6,155398200,7951810000.0,10.3,11.37,800.38,1081.25,54.35,44.47,1.25
安记食品,sh603696,15.31,15.6,15.42,4755200.0,15.31,900,15.32,1500,-1.86,15.48,15.18,4755200,72850000.0,2.02,1.92,36.01,36.01,17.16,14.04,0.8
柏诚股份,sh601133,22.95,23.34,23.3,16421900.0,22.94,36800,22.95,10000,-1.67,23.8,22.86,16421900,380670000.0,3.13,4.03,120.35,121.18,25.67,21.01,0.8
德尔未来,sz002631,7.23,7.26,7.26,15396900.0,7.22,23800,7.23,6100,-0.41,7.36,7.09,15396900,111030000.0,1.94,3.72,57.38,57.64,7.99,6.53,0.75
创元科技,sz000551,14.64,14.98,14.84,20462600.0,14.64,50200,14.65,20000,-2.27,15.15,14.58,20462600,303570000.0,4.22,3.81,70.94,70.96,16.48,13.48,1.31
浔兴股份,sz002098,8.85,8.73,8.73,3099400.0,8.85,95400,8.86,12400,1.37,8.88,8.63,3099400,27220000.0,0.87,2.86,31.68,31.68,9.6,7.86,1.03
合兴包装,sz002228,3.78,3.8,3.78,23119000.0,3.77,342000,3.78,130400,-0.53,3.82,3.74,23119000,87090000.0,1.91,2.11,45.71,45.87,4.18,3.42,0.54
