code,所属概念数量,股票代码,market_code,所属概念
300912,11,300912.SZ,33,碳中和;中俄贸易概念;工业互联网;汽车热管理;新能源汽车;机器人概念;比亚迪概念;传感器;人形机器人;股权转让(并购重组);融资融券
300461,9,300461.SZ,33,苹果概念;新型烟草(电子烟);新型工业化;无线充电;长三角一体化;比亚迪概念;消费电子概念;汽车电子;无线耳机
301312,26,301312.SZ,33,共封装光学(CPO);MiniLED;MicroLED概念;苹果概念;新型烟草(电子烟);AI PC;MR(混合现实);数据中心;AI眼镜;华为海思概念股;消费电子概念;汽车电子;新型工业化;粤港澳大湾区;芯片概念;华为概念;机器视觉;专精特新;高端装备;虚拟现实;机器人概念;空间计算;比亚迪概念;元宇宙;深股通;融资融券
300264,15,300264.SZ,33,文化传媒概念;在线教育;空间计算;虚拟数字人;Web3.0;AIGC概念;元宇宙;云游戏;百度概念;虚拟现实;国产操作系统;MR(混合现实);华为概念;专精特新;股权转让(并购重组)
300953,16,300953.SZ,33,人形机器人;小米汽车;新能源汽车;小米概念;比亚迪概念;机器人概念;飞行汽车(eVTOL);宁德时代概念;低空经济;储能;2025三季报预增;2025年报预增;锂电池概念;一带一路;深股通;融资融券
301268,17,301268.SZ,33,光伏概念;储能;新型烟草(电子烟);充电桩;新能源汽车;一体化压铸;比亚迪概念;回购增持再贷款概念;机器人概念;特斯拉概念;宁德时代概念;人形机器人;低空经济;华为概念;液冷服务器;深股通;融资融券
300158,13,300158.SZ,33,创新药;仿制药一致性评价;肝炎概念;流感;医药电商;维生素;毛发医疗;医美概念;乡村振兴;农业种植;土地流转;融资融券;深股通
688530,7,688530.SH,17,HJT电池;钙钛矿电池;光伏概念;PET铜箔;芯片概念;专精特新;融资融券
301636,7,301636.SZ,33,钙钛矿电池;光伏概念;注册制次新股;新能源汽车;专精特新;新股与次新股;融资融券
300927,5,300927.SZ,33,丙烯酸;草甘膦;国企改革;股权转让(并购重组);融资融券
301529,9,301529.SZ,33,传感器;新能源汽车;汽车电子;比亚迪概念;5G;中俄贸易概念;回购增持再贷款概念;深股通;融资融券
300483,3,300483.SZ,33,俄乌冲突概念;天然气;股权转让(并购重组)
300617,15,300617.SZ,33,特高压;智能电网;虚拟电厂;电力物联网;光伏概念;风电;充电桩;核电;储能;腾讯概念;数据中心;宁德时代概念;专精特新;氟化工概念;深股通
688275,13,688275.SH,17,钠离子电池;固态电池;锂电池概念;宁德时代概念;储能;比亚迪概念;碳中和;污水处理;新能源汽车;充电桩;专精特新;沪股通;融资融券
000056,7,000056.SZ,33,租售同权;物业管理;智能物流;物联网;固态电池;芯片概念;融资融券
688428,3,688428.SH,17,创新药;沪股通;融资融券
002506,19,002506.SZ,33,钙钛矿电池;HJT电池;TOPCON电池;BC电池;光伏建筑一体化;光伏概念;钒电池;碳交易;储能;碳中和;雄安新区;华为数字能源;蚂蚁集团概念;数字经济;长三角一体化;华为概念;区块链;深股通;融资融券
600722,5,600722.SH,17,煤化工概念;国企改革;京津冀一体化;融资融券;风电
002519,23,002519.SZ,33,军工信息化;商业航天;军民融合;军工;人工智能;安防;核电;无人驾驶;创投;机器人概念;专精特新;新型工业化;智能家居;充电桩;智能电网;长安汽车概念;储能;比亚迪概念;新能源汽车;锂电池概念;宁德时代概念;深股通;融资融券
002634,3,002634.SZ,33,TOPCON电池;光伏概念;互联网金融
002728,9,002728.SZ,33,流感;幽门螺杆菌概念;肝炎概念;仿制药一致性评价;医药电商;医美概念;NMN概念;2025年报预增;深股通
002015,31,002015.SZ,33,虚拟电厂;光伏概念;智能电网;华为数字能源;充电桩;储能;高压快充;换电概念;风电;新能源汽车;宁德时代概念;水利;碳中和;抽水蓄能;碳交易;华为概念;绿色电力;数据中心;长三角一体化;锂电池概念;动力电池回收;东数西算(算力);数字经济;区块链;英伟达概念;蚂蚁集团概念;生物质能发电;百度概念;算力租赁;融资融券;深股通
002361,16,002361.SZ,33,卫星导航;商业航天;军民融合;航空发动机;军工;低空经济;无人机;高铁;3D打印;高端装备;国企改革;污水处理;石墨烯;深股通;股权转让(并购重组);融资融券
603618,15,603618.SH,17,特高压;光纤概念;智能电网;抽水蓄能;光伏概念;风电;储能;PET铜箔;石墨烯;新能源汽车;锂电池概念;共同富裕示范区;5G;沪股通;融资融券
603876,9,603876.SH,17,钠离子电池;固态电池;锂电池概念;宁德时代概念;储能;比亚迪概念;2025年报预增;沪股通;融资融券
600884,25,600884.SH,17,钠离子电池;动力电池回收;固态电池;氟化工概念;石墨电极;锂电池概念;宁德时代概念;石墨烯;超级电容;储能;光伏概念;新能源汽车;比亚迪概念;金属镍;小金属概念;共同富裕示范区;OLED;消费电子概念;MiniLED;参股银行;苹果概念;创投;虚拟现实;沪股通;融资融券
603138,10,603138.SH,17,横琴新区;数据要素;人工智能;华为鲲鹏;数据安全;信创;华为概念;雄安新区;数据中心;融资融券
600686,16,600686.SH,17,燃料电池;长安汽车概念;新能源汽车;氢能源;智能物流;安防;海峡两岸;车联网(车路协同);福建自贸区;国企改革;无人驾驶;华为概念;百度概念;2025年报预增;融资融券;沪股通
603607,6,603607.SH,17,烟草;小米概念;消费电子概念;专精特新;知识产权保护;IP经济(谷子经济)
002207,6,002207.SZ,33,俄乌冲突概念;页岩气;天然气;新疆振兴;西部大开发;国企改革
600230,5,600230.SH,17,国企改革;央企国企改革;沪股通;融资融券;京津冀一体化
002326,8,002326.SZ,33,氟化工概念;钠离子电池;锂电池概念;宁德时代概念;液冷服务器;仿制药一致性评价;深股通;融资融券
003018,0,003018.SZ,33,
002957,28,002957.SZ,33,液冷服务器;苹果概念;共封装光学(CPO);宁德时代概念;固态电池;新型烟草(电子烟);消费电子概念;锂电池概念;芯片概念;AI眼镜;比亚迪概念;2025年报预增;新型工业化;智能穿戴;机器视觉;无线耳机;人形机器人;机器人概念;粤港澳大湾区;华为概念;工业互联网;无人机;虚拟现实;物联网;低空经济;智能物流;融资融券;深股通
002830,3,002830.SZ,33,粤港澳大湾区;物业管理;华为概念
002842,3,002842.SZ,33,金属铜;小金属概念;光伏概念
600345,16,600345.SH,17,卫星导航;商业航天;光纤概念;车联网(车路协同);安防;信创;智慧城市;数据要素;华为概念;人工智能;DeepSeek概念;央企国企改革;国企改革;股权转让(并购重组);沪股通;融资融券
002624,21,002624.SZ,33,云游戏;电子竞技;手机游戏;AIGC概念;虚拟数字人;网络游戏;短剧游戏;NFT概念;元宇宙;AI智能体;文化传媒概念;鸿蒙概念;英伟达概念;虚拟现实;区块链;人工智能;IP经济(谷子经济);华为概念;AI应用;深股通;融资融券
603667,15,603667.SH,17,减速器;汽车热管理;人形机器人;特斯拉概念;大飞机;新能源汽车;高端装备;机器人概念;无人机;商业航天;军工;风电;特钢概念;沪股通;融资融券
002150,10,002150.SZ,33,光伏概念;储能;风电;充电桩;一带一路;农机;人民币贬值受益;乡村振兴;深股通;融资融券
002921,10,002921.SZ,33,光热发电;光伏概念;燃料电池;氢能源;农机;减速器;新能源汽车;机器人概念;乡村振兴;人民币贬值受益
002943,12,002943.SZ,33,HJT电池;TOPCON电池;第三代半导体;光伏概念;芯片概念;AI眼镜;工业母机;智能穿戴;比亚迪概念;稀土永磁;深股通;融资融券
