所属概念,所属概念数量,market_code,股票代码,code
TOPCON电池;HJT电池;氢能源;储能;融资融券;光伏概念;专精特新;BC电池,8,151,920167.BJ,920167
先进封装;第三代半导体;芯片概念;工业母机;传感器;高端装备;专精特新;机器人概念;华为概念;工业互联网;物联网;一带一路;深股通,13,33,300480.SZ,300480
商业航天;航空发动机;大飞机;无人机;低空经济;核电;工业互联网;机器人概念;专精特新;风电;融资融券,11,33,301232.SZ,301232
共封装光学(CPO);光纤概念;苹果概念;芯片概念;MR(混合现实);TOPCON电池;比亚迪概念;钙钛矿电池;专精特新;宁德时代概念;机器视觉;光伏概念;固态电池;华为概念;2025年报预增;虚拟现实;3D打印;沪股通;融资融券,19,17,688025.SH,688025
Sora概念(文生视频);AI语料;快手概念;短剧游戏;AIGC概念;ChatGPT概念;多模态AI;Web3.0;虚拟数字人;AI智能体;NFT概念;知识产权保护;抖音概念(字节概念);文化传媒概念;在线教育;数据确权;数据要素;阿里巴巴概念;百度概念;腾讯概念;鸿蒙概念;元宇宙;区块链;AI应用;数字乡村;DeepSeek概念;职业教育;人工智能;数字经济;IP经济(谷子经济);虚拟现实;华为概念;京津冀一体化;乡村振兴;同花顺出海50;深股通;融资融券,37,33,300364.SZ,300364
华为欧拉;数据安全;云计算;华为鲲鹏;信创;数据要素;阿里巴巴概念;腾讯概念;DeepSeek概念;互联网金融;数字经济;华为概念;专精特新;融资融券,14,17,688435.SH,688435
碳中和;中俄贸易概念;汽车热管理;工业互联网;新能源汽车;比亚迪概念;机器人概念;传感器;人形机器人;股权转让(并购重组);融资融券,11,33,300912.SZ,300912
ChatGPT概念;AI智能体;在线教育;文化传媒概念;阿里巴巴概念;DeepSeek概念;IP经济(谷子经济);人工智能;跨境电商;三胎概念;西部大开发;AI应用;回购增持再贷款概念;融资融券,14,33,301231.SZ,301231
光伏概念;虚拟电厂;智能电网;充电桩;储能;电力物联网;数据中心;工业互联网;融资融券,9,33,300982.SZ,300982
BC电池;TOPCON电池;HJT电池;OLED;光伏概念;液冷服务器;芯片概念;汽车电子;专精特新;5G;商业航天;卫星导航;沪股通;融资融券,14,17,688503.SH,688503
短剧游戏;文化传媒概念;AIGC概念;在线教育;抖音概念(字节概念);智慧政务;DeepSeek概念;数字经济;人工智能;旅游概念;数字乡村;人脸识别;虚拟现实;养老概念;语音技术;数字孪生;东数西算(算力);宠物经济;国企改革;AI应用;深股通;融资融券,22,33,301262.SZ,301262
商业航天;海工装备;人工智能;家用电器;回购增持再贷款概念;智能家居,6,33,300749.SZ,300749
Sora概念(文生视频);AI语料;快手概念;短剧游戏;AIGC概念;虚拟数字人;ChatGPT概念;多模态AI;华为盘古;NFT概念;AI智能体;抖音概念(字节概念);文化传媒概念;在线教育;华为昇腾;阿里巴巴概念;腾讯概念;百度概念;数据要素;元宇宙;DeepSeek概念;人工智能;数字经济;IP经济(谷子经济);虚拟现实;华为概念;AI应用;小米概念;深股通;融资融券,30,33,300182.SZ,300182
共封装光学(CPO);光纤概念;先进封装;英伟达概念;5G;数据中心;同花顺新质50;华为概念;专精特新;无人驾驶;人民币贬值受益;深股通;融资融券,13,33,300394.SZ,300394
共封装光学(CPO);光纤概念;5G;芯片概念;数据中心;量子科技;3D打印;商业航天;2025年报预增;卫星导航;无人驾驶;海工装备;2025三季报预增;粤港澳大湾区;一带一路;横琴新区;国企改革;股权转让(并购重组);深股通;融资融券,20,33,300620.SZ,300620
共封装光学(CPO);光纤概念;光刻机;先进封装;存储芯片;MicroLED概念;OLED;MR(混合现实);芯片概念;消费电子概念;3D打印;智能座舱;可控核聚变;机器视觉;无人驾驶;虚拟现实;回购增持再贷款概念;西部大开发;医美概念;沪股通;融资融券,21,17,688167.SH,688167
