code,股票代码,所属概念,market_code,所属概念数量
688816,688816.SH,科创次新股;注册制次新股;新股与次新股;融资融券;机器视觉,17,5
301526,301526.SZ,PCB概念;华为手机;5G;消费电子概念;汽车电子;光伏概念;华为概念;特高压;一带一路;风电;工业互联网;数字经济;西部大开发;绿色电力;国企改革;深股通;融资融券,33,17
300819,300819.SZ,机器人概念;固态电池;人民币贬值受益;氢能源;体育产业,33,5
688035,688035.SH,国家大基金持股;存储芯片;先进封装;芯片概念;PCB概念;液冷服务器;苹果概念;宁德时代概念;无线耳机;消费电子概念;有机硅概念;固态电池;柔性屏(折叠屏);小米概念;专精特新;石墨烯;智能穿戴;新能源汽车;人形机器人;光伏概念;储能;数据中心;高端装备;MR(混合现实);机器人概念;回购增持再贷款概念;HJT电池;华为概念;TOPCON电池;高铁;沪股通;融资融券,17,32
300196,300196.SZ,PCB概念;光伏概念;深股通,33,3
300767,300767.SZ,装配式建筑;雄安新区;西部大开发;核电;深股通;股权转让(并购重组);融资融券,33,7
688667,688667.SH,新能源汽车;长安汽车概念;专精特新;汽车电子;车联网(车路协同);2025年报预增;融资融券,17,7
300461,300461.SZ,新型烟草(电子烟);长三角一体化;苹果概念;无线充电;新型工业化;比亚迪概念;无线耳机;消费电子概念;汽车电子,33,9
300849,300849.SZ,可降解塑料,33,1
300369,300369.SZ,数字水印;数据确权;智慧政务;区块链;网络安全;腾讯概念;数据安全;华为鲲鹏;国产操作系统;AI智能体;云计算;信创;华为欧拉;数据要素;AI语料;阿里巴巴概念;人工智能;东数西算(算力);DeepSeek概念;MLOps概念;车联网(车路协同);华为概念;独角兽概念;京津冀一体化;数据中心;工业互联网;AI应用;深股通;融资融券,33,29
002470,002470.SZ,水泥概念;化肥;生态农业;磷化工;农村电商;国企改革;乡村振兴;土壤修复;锂电池概念;深股通,33,10
002323,002323.SZ,光伏建筑一体化;HJT电池;光伏概念;绿色电力;储能;国企改革;一带一路;智慧城市;数字乡村;融资融券,33,10
301025,301025.SZ,文化传媒概念;知识产权保护;IP经济(谷子经济);抖音概念(字节概念);华为概念;融资融券,33,6
688583,688583.SH,空间计算;阿里巴巴概念;3D打印;大飞机;专精特新;机器人概念;比亚迪概念;特斯拉概念;宁德时代概念;融资融券,17,10
001896,001896.SZ,抽水蓄能;超超临界发电;光伏建筑一体化;绿色电力;风电;碳中和;储能;充电桩;工业互联网;创投;国企改革;智能物流;人工智能;华为概念;煤炭概念;深股通;融资融券;东数西算(算力),33,18
603608,603608.SH,C2M概念;AIGC概念;网红经济;抖音概念(字节概念);跨境电商;粤港澳大湾区;股权转让(并购重组);摘帽,17,8
600589,600589.SH,算力租赁;云计算;东数西算(算力);数据中心;融资融券;股权转让(并购重组);沪股通,17,7
002723,002723.SZ,露营经济;空气能热泵;家用电器;新型烟草(电子烟);PPP概念;储能;跨境电商;液冷服务器;军工;医疗器械概念;宠物经济;短剧游戏,33,12
603968,603968.SH,代糖概念;维生素;染料,17,3
000892,000892.SZ,短剧游戏;AIGC概念;虚拟数字人;文化传媒概念;AI智能体;IP经济(谷子经济);人工智能;西部大开发;AI应用;深股通,33,10
002455,002455.SZ,磷化工;石墨电极;钠离子电池;金属回收;动力电池回收;固态电池;锂电池概念;宁德时代概念;储能;光刻胶;新能源汽车;深股通;融资融券,33,13
600292,600292.SH,风电;碳中和;绿色电力;土壤修复;西部大开发;央企国企改革;PPP概念;污水处理;国企改革;动力电池回收;乡村振兴;锂电池概念;期货概念;融资融券;沪股通;股权转让(并购重组),17,16
603533,603533.SH,短剧游戏;AI语料;AIGC概念;ChatGPT概念;文化传媒概念;AI智能体;抖音概念(字节概念);知识产权保护;数据要素;鸿蒙概念;IP经济(谷子经济);人工智能;独角兽概念;华为概念;电子纸;AI应用;沪股通,17,17
000510,000510.SZ,金属铜;小金属概念;石墨烯;芯片概念;西部大开发;化债概念(AMC概念),33,6
603256,603256.SH,PCB概念;华为手机;苹果概念;消费电子概念;2025年报预增;芯片概念;5G;专精特新;海峡两岸;华为概念;沪股通,17,11
001359,001359.SZ,固态电池;宁德时代概念;汽车热管理;储能;新能源汽车;特斯拉概念;高铁;深股通;融资融券,33,9
605287,605287.SH,新型城镇化;装配式建筑;虚拟现实;光伏建筑一体化;回购增持再贷款概念;乡村振兴;短剧游戏;文化传媒概念;AI应用,17,9
