所属概念,market_code,股票代码,所属概念数量,code
磷化工;化肥;锂电池概念;固废处理;2025年报预增;2025三季报预增;一带一路;西部大开发;人民币贬值受益;宠物经济;深股通;融资融券,33,300505.SZ,12,300505
专精特新;光伏概念;融资融券,33,301373.SZ,3,301373
三胎概念;海峡两岸;人民币贬值受益;福建自贸区;股权转让(并购重组),33,300658.SZ,5,300658
存储芯片;中芯国际概念;芯片概念;硅能源;沪股通;融资融券,17,688432.SH,6,688432
专精特新;可降解塑料;一带一路;光伏概念;POE胶膜;融资融券,33,301100.SZ,6,301100
芯片概念;消费电子概念;专精特新;英伟达概念;传感器;机器人概念;沪股通;融资融券,17,688661.SH,8,688661
知识产权保护;文化传媒概念;AIGC概念;抖音概念(字节概念);IP经济(谷子经济);元宇宙;AI智能体;百度概念;数据要素;职业教育;DeepSeek概念;人工智能;三胎概念;国企改革;深股通;中字头股票,33,300788.SZ,16,300788
硅能源;有机硅概念;燃料电池;融资融券;深股通,33,300821.SZ,5,300821
磷化工;消毒剂;碳中和;工业互联网;净水概念;新型城镇化;土壤修复;PPP概念;污水处理;融资融券,33,300437.SZ,10,300437
PCB概念;OLED;5G;芯片概念;光伏概念;同花顺新质50;融资融券;深股通,33,300395.SZ,8,300395
光刻胶;苹果概念;工业母机;消费电子概念;宁德时代概念;机器视觉;汽车电子;比亚迪概念;专精特新;新型工业化;机器人概念;人形机器人;一带一路;融资融券,17,688125.SH,14,688125
共封装光学(CPO);PCB概念;5G;MiniLED;芯片概念;6G概念;新能源汽车;无人机;储能;粤港澳大湾区;2025年报预增;人民币贬值受益;深股通;融资融券,33,300739.SZ,14,300739
MLOps概念;华为昇腾;多模态AI;商业航天;数字水印;AIGC概念;华为鲲鹏;AI智能体;数据要素;数据安全;信创;人工智能;DeepSeek概念;独角兽概念;华为概念;AI PC;AI应用;工业互联网;沪股通;融资融券,17,688031.SH,20,688031
小金属概念;土壤修复;净水概念;污水处理;融资融券,17,688480.SH,5,688480
PCB概念;光伏概念;工业母机;人形机器人;2025年报预增;专精特新;机器人概念;航空发动机;商业航天;融资融券,17,688308.SH,10,688308
氢能源;碳中和;冷链物流;深股通;融资融券,33,300257.SZ,5,300257
减速器;PEEK材料;华为汽车;比亚迪概念;新能源汽车;机器人概念;智能座舱;小米概念;家用电器;专精特新;无人机;智能家居;华为概念;深股通,33,300539.SZ,14,300539
