股票代码,所属概念数量,所属概念,code,market_code
920036.BJ,3,新股与次新股;融资融券;人民币贬值受益,920036,151
920375.BJ,25,东数西算(算力);阿里巴巴概念;虚拟电厂;高压快充;融资融券;智能电网;碳交易;粤港澳大湾区;百度概念;腾讯概念;数据要素;电力物联网;数据中心;碳中和;核电;物联网;充电桩;华为鲲鹏;专精特新;建筑节能;储能;人工智能;DeepSeek概念;抖音概念(字节概念);华为概念,920375,151
301396.SZ,31,算力租赁;云计算;财税数字化;东数西算(算力);多模态AI;ChatGPT概念;腾讯概念;AI智能体;信创;智慧政务;MR(混合现实);数据中心;数据要素;空间计算;华为概念;DeepSeek概念;人工智能;安防;数字经济;智慧城市;物联网;职业教育;AI应用;智能医疗;专精特新;智能物流;乡村振兴;旅游概念;新型城镇化;深股通;融资融券,301396,33
688316.SH,19,智谱AI;华为欧拉;算力租赁;云计算;华为鲲鹏;信创;智慧政务;网络安全;东数西算(算力);英伟达概念;DeepSeek概念;数据中心;数字经济;华为概念;互联网金融;物联网;低空经济;无人驾驶;融资融券,688316,17
688229.SH,20,华为鲲鹏;数据安全;云计算;信创;鸿蒙概念;数据要素;阿里巴巴概念;抖音概念(字节概念);百度概念;腾讯概念;互联网金融;DeepSeek概念;数字经济;人工智能;东数西算(算力);华为概念;工业互联网;数据中心;AI应用;融资融券,688229,17
301606.SZ,10,无线耳机;无线充电;苹果概念;消费电子概念;人民币贬值受益;华为概念;储能;跨境电商;深股通;融资融券,301606,33
301179.SZ,29,柔性直流输电;特高压;虚拟电厂;智能电网;充电桩;电力物联网;风电;光伏概念;储能;绿色电力;数据中心;光伏建筑一体化;专精特新;数字孪生;5G;新型工业化;物联网;机器人概念;无人机;低空经济;数字经济;网络安全;人工智能;DeepSeek概念;数据安全;多模态AI;AI应用;深股通;融资融券,301179,33
688158.SH,30,智谱AI;云游戏;算力租赁;华为昇腾;中国AI 50;云计算;财税数字化;数据安全;信创;智慧政务;东数西算(算力);AI智能体;数字乡村;数据要素;数据中心;脑机接口;商业航天;DeepSeek概念;智能医疗;华为概念;智慧城市;数字经济;人工智能;液冷服务器;工业互联网;低空经济;无人驾驶;专精特新;机器人概念;融资融券,688158,17
300113.SZ,30,云游戏;算力租赁;多模态AI;抖音概念(字节概念);云计算;AIGC概念;Web3.0;虚拟数字人;腾讯概念;AI智能体;东数西算(算力);百度概念;数据确权;电子竞技;元宇宙;手机游戏;NFT概念;区块链;文化传媒概念;DeepSeek概念;英伟达概念;人工智能;数据中心;虚拟现实;智能医疗;华为概念;IP经济(谷子经济);AI应用;深股通;融资融券,300113,33
920876.BJ,18,2025年报预增;在线教育;移动支付;融资融券;数字经济;芯片概念;安防;人工智能;智能家居;鸿蒙概念;信创;智慧政务;物联网;机器人概念;消费电子概念;AI PC;专精特新;5G,920876,151
