股票代码,所属概念数量,所属概念,market_code,code
688295.SH,12,碳纤维;大飞机;飞行汽车(eVTOL);低空经济;专精特新;机器人概念;风电;氢能源;国企改革;沪股通;中字头股票;融资融券,17,688295
301396.SZ,31,算力租赁;云计算;财税数字化;东数西算(算力);多模态AI;ChatGPT概念;智慧政务;信创;腾讯概念;AI智能体;数据要素;数据中心;MR(混合现实);空间计算;DeepSeek概念;智慧城市;华为概念;数字经济;安防;人工智能;AI应用;物联网;职业教育;智能医疗;专精特新;智能物流;乡村振兴;旅游概念;新型城镇化;深股通;融资融券,33,301396
301667.SZ,11,注册制次新股;汽车热管理;新能源汽车;宁德时代概念;储能;专精特新;锂电池概念;华为概念;深股通;新股与次新股;融资融券,33,301667
301068.SZ,2,固废处理;融资融券,33,301068
300690.SZ,17,PEEK材料;碳纤维;飞行汽车(eVTOL);人形机器人;3D打印;机器人概念;大飞机;新能源汽车;低空经济;比亚迪概念;无人机;军工;海工装备;风电;2025年报预增;深股通;融资融券,33,300690
688097.SH,33,共封装光学(CPO);富士康概念;苹果概念;华为手机;5G;芯片概念;消费电子概念;新型工业化;宁德时代概念;汽车电子;高端装备;MR(混合现实);人形机器人;特斯拉概念;无人机;AI眼镜;固态电池;光伏概念;储能;新能源汽车;充电桩;换电概念;机器视觉;智能穿戴;低空经济;锂电池概念;华为概念;工业互联网;机器人概念;一带一路;智能物流;沪股通;融资融券,17,688097
301658.SZ,10,充电桩;光伏概念;储能;一带一路;粤港澳大湾区;人民币贬值受益;注册制次新股;深股通;新股与次新股;融资融券,33,301658
300672.SZ,21,汽车芯片;存储芯片;国家大基金持股;芯片概念;智能座舱;卫星导航;WiFi 6;星闪概念;无人驾驶;机器视觉;车联网(车路协同);虚拟现实;东数西算(算力);物联网;专精特新;机器人概念;鸿蒙概念;人工智能;深股通;股权转让(并购重组);融资融券,33,300672
300323.SZ,13,MicroLED概念;MiniLED;AI眼镜;华为概念;智能穿戴;汽车电子;虚拟现实;第三代半导体;消费电子概念;芯片概念;国企改革;深股通;融资融券,33,300323
920091.BJ,8,新能源汽车;机器人概念;长安汽车概念;专精特新;比亚迪概念;机器视觉;新股与次新股;融资融券,151,920091
688125.SH,14,光刻胶;苹果概念;工业母机;宁德时代概念;消费电子概念;汽车电子;比亚迪概念;专精特新;机器视觉;新型工业化;一带一路;机器人概念;人形机器人;融资融券,17,688125
688106.SH,21,可控核聚变;核电;氢能源;光伏概念;俄乌冲突概念;天然气;碳中和;商业航天;燃料电池;中芯国际概念;存储芯片;第三代半导体;专精特新;回购增持再贷款概念;芯片概念;长三角一体化;锂电池概念;固态电池;冷链物流;沪股通;融资融券,17,688106
301162.SZ,11,人工智能;智能电网;虚拟电厂;碳交易;专精特新;风电;光伏概念;绿色电力;储能;深股通;融资融券,33,301162
301155.SZ,6,2025年报预增;绿色电力;风电;海工装备;深股通;融资融券,33,301155
688349.SH,4,氢能源;风电;沪股通;融资融券,17,688349
300531.SZ,34,数字货币;移动支付;电子身份证;跨境支付(CIPS);人脸识别;区块链;智慧政务;信创;鸿蒙概念;物联网;数据确权;数据安全;华为概念;数据要素;工业互联网;数字经济;智能音箱;人工智能;DeepSeek概念;机器视觉;粤港澳大湾区;机器人概念;智能物流;智能医疗;华为海思概念股;消费电子概念;拼多多概念;食品安全;专精特新;军工;芯片概念;智能电网;中俄贸易概念;深股通,33,300531
300131.SZ,26,共封装光学(CPO);第三代半导体;存储芯片;AI眼镜;OLED;汽车芯片;芯片概念;汽车电子;智能座舱;小米概念;数据中心;传感器;无人驾驶;新能源汽车;机器人概念;长安汽车概念;物联网;车联网(车路协同);粤港澳大湾区;智能家居;智慧城市;腾讯概念;阿里巴巴概念;ERP概念;深股通;融资融券,33,300131
688063.SH,13,钠离子电池;固态电池;绿色电力;锂电池概念;储能;两轮车;数据中心;专精特新;2025年报预增;低空经济;人民币贬值受益;沪股通;融资融券,17,688063
600370.SH,1,沪股通,17,600370
601868.SH,43,虚拟电厂;生物质能发电;碳交易;绿色电力;光热发电;水泥概念;柔性直流输电;超超临界发电;土壤修复;特高压;新型城镇化;风电;储能;水利;氢能源;燃料电池;雅下水电概念;国企改革;民爆概念;参股保险;宁德时代概念;一带一路;核电;证金持股;数据中心;央企国企改革;机器人概念;高端装备;低空经济;同花顺中特估100;光纤概念;华为概念;海工装备;算力租赁;东数西算(算力);军工;可控核聚变;人工智能;阿里巴巴概念;AI智能体;中字头股票;融资融券;沪股通,17,601868
600691.SH,15,煤化工概念;化肥;天然气;消毒剂;氢能源;国企改革;一带一路;回购增持再贷款概念;燃料电池;光伏概念;储能;机器人概念;股权转让(并购重组);沪股通;融资融券,17,600691
601991.SH,10,绿色电力;雅下水电概念;风电;央企国企改革;核电;储能;国企改革;2025年报预增;沪股通;融资融券,17,601991
000420.SZ,11,碳纤维;大飞机;飞行汽车(eVTOL);低空经济;无人机;风电;国企改革;体育产业;冰雪产业;融资融券;深股通,33,000420
600121.SH,11,煤炭概念;国企改革;DeepSeek概念;安防;工业互联网;数据要素;东数西算(算力);机器人概念;信创;沪股通;融资融券,17,600121
600844.SH,4,煤化工概念;可降解塑料;西部大开发;股权转让(并购重组),17,600844
000890.SZ,5,光纤概念;独角兽概念;净水概念;污水处理;储能,33,000890
002652.SZ,2,雄安新区;中芯国际概念,33,002652
002254.SZ,13,固态电池;锂电池概念;高铁;军工;无人机;军民融合;机器人概念;智能穿戴;新能源汽车;国企改革;氢能源;深股通;融资融券,33,002254
601330.SH,7,生物质能发电;医疗废物处理;绿色电力;固废处理;国企改革;垃圾分类;沪股通,17,601330
603527.SH,6,锂电池概念;固态电池;3D打印;新能源汽车;高端装备;融资融券,17,603527
000553.SZ,6,草甘膦;国企改革;央企国企改革;人民币贬值受益;深股通;融资融券,33,000553
000537.SZ,10,光热发电;绿色电力;储能;风电;国企改革;新疆振兴;央企国企改革;京津冀一体化;深股通;融资融券,33,000537
600188.SH,9,煤炭概念;煤化工概念;同花顺漂亮100;小金属概念;沪股通;融资融券;国企改革;参股银行;风电,17,600188
002869.SZ,23,ETC;无人驾驶;长安汽车概念;智慧灯杆;车联网(车路协同);智能座舱;粤港澳大湾区;物联网;智慧城市;汽车电子;百度概念;机器人概念;人工智能;数字经济;鸿蒙概念;数字孪生;数据要素;毫米波雷达;华为概念;专精特新;新能源汽车;深股通;融资融券,33,002869
603626.SH,20,富士康概念;苹果概念;AI PC;新型烟草(电子烟);特斯拉概念;智能音箱;消费电子概念;无线耳机;智能穿戴;机器人概念;柔性屏(折叠屏);华为概念;虚拟现实;人民币贬值受益;元宇宙;固态电池;海峡两岸;储能;沪股通;融资融券,17,603626
600821.SH,19,华为数字能源;风电;碳交易;绿色电力;算力租赁;东数西算(算力);储能;煤化工概念;天津自贸区;新疆振兴;智慧城市;DeepSeek概念;京津冀一体化;回购增持再贷款概念;数字经济;国企改革;华为概念;沪股通;融资融券,17,600821
002951.SZ,8,蚂蚁集团概念;数字经济;超级电容;储能;风电;西部大开发;深股通;摘帽,33,002951
603992.SH,7,C2M概念;福建自贸区;人形机器人;智能家居;机器人概念;人民币贬值受益;沪股通,17,603992
601038.SH,10,农机;央企国企改革;乡村振兴;国企改革;高端装备;中俄贸易概念;工业互联网;无人驾驶;沪股通;融资融券,17,601038
000990.SZ,15,POE胶膜;NMN概念;氢能源;碳中和;国企改革;人造肉;燃料电池;合成生物;工业大麻;民营医院;医美概念;OLED;小米概念;深股通;融资融券,33,000990
002487.SZ,7,2025年报预增;风电;海工装备;绿色电力;航运概念;融资融券;深股通,33,002487
002150.SZ,10,光伏概念;风电;储能;充电桩;一带一路;农机;人民币贬值受益;乡村振兴;深股通;融资融券,33,002150
600956.SH,15,天然气;碳交易;钒电池;氢能源;绿色电力;国企改革;抽水蓄能;风电;储能;京津冀一体化;光伏概念;DeepSeek概念;AI智能体;融资融券;沪股通,17,600956
601969.SH,20,海南自贸区;天然气;黄金概念;金属铜;自由贸易港;小金属概念;金属钴;氟化工概念;固废处理;参股保险;碳中和;乡村振兴;参股银行;旅游概念;土壤修复;锂电池概念;回购增持再贷款概念;创投;沪股通;融资融券,17,601969
001260.SZ,5,长安汽车概念;华为汽车;小米汽车;比亚迪概念;小米概念,33,001260
600722.SH,5,煤化工概念;国企改革;融资融券;风电;京津冀一体化,17,600722
601015.SH,7,天然气;煤炭概念;煤化工概念;西部大开发;沪股通;污水处理;融资融券,17,601015
603092.SH,9,2025年报预增;注册制次新股;高端装备;风电;海工装备;独角兽概念;新疆振兴;融资融券;新股与次新股,17,603092
605305.SH,7,2025年报预增;专精特新;储能;风电;京津冀一体化;沪股通;融资融券,17,605305
603978.SH,11,氟化工概念;PVDF概念;锂电池概念;储能;回购增持再贷款概念;一体化压铸;军工;芯片概念;核电;商业航天;融资融券,17,603978
603281.SH,5,有机硅概念;人民币贬值受益;光伏概念;硅能源;沪股通,17,603281
002015.SZ,31,虚拟电厂;华为数字能源;智能电网;碳交易;抽水蓄能;绿色电力;碳中和;算力租赁;充电桩;换电概念;生物质能发电;储能;风电;光伏概念;高压快充;数据中心;东数西算(算力);水利;动力电池回收;锂电池概念;区块链;蚂蚁集团概念;百度概念;数字经济;华为概念;宁德时代概念;长三角一体化;英伟达概念;新能源汽车;融资融券;深股通,33,002015
603507.SH,12,光热发电;光伏概念;风电;商业航天;专精特新;机器人概念;海工装备;氢能源;人民币贬值受益;回购增持再贷款概念;一带一路;融资融券,17,603507
600714.SH,4,小金属概念;西部大开发;央企国企改革;国企改革,17,600714
603693.SH,9,绿色电力;生物质能发电;风电;充电桩;储能;国企改革;钠离子电池;沪股通;融资融券,17,603693
000593.SZ,10,青蒿素;信托概念;天然气;股权转让(并购重组);地下管网;西部大开发;碳中和;氢能源;储能;融资融券,33,000593
600703.SH,26,MicroLED概念;MiniLED;汽车芯片;第三代半导体;AI眼镜;芯片概念;消费电子概念;小米概念;卫星导航;商业航天;5G;比亚迪概念;苹果概念;无人驾驶;新能源汽车;华为汽车;共封装光学(CPO);光伏概念;充电桩;数据中心;海峡两岸;福建自贸区;金属回收;同花顺漂亮100;沪股通;融资融券,17,600703
