股票代码,所属概念数量,code,所属概念,market_code
301189.SZ,20,301189,智能家居;人民币贬值受益;消费电子概念;汽车电子;专精特新;星闪概念;跨境电商;人脸识别;智能音箱;宠物经济;机器人概念;物联网;无线耳机;车联网(车路协同);人工智能;腾讯概念;英伟达概念;鸿蒙概念;虚拟数字人;融资融券,33
301292.SZ,8,301292,钠离子电池;固态电池;锂电池概念;比亚迪概念;新能源汽车;专精特新;深股通;融资融券,33
688813.SH,15,688813,PCB概念;华为概念;军工;核电;比亚迪概念;PET铜箔;锂电池概念;氢能源;注册制次新股;国企改革;科创次新股;西部大开发;共封装光学(CPO);新股与次新股;融资融券,17
301157.SZ,15,301157,东数西算(算力);液冷服务器;数据中心;腾讯概念;抖音概念(字节概念);阿里巴巴概念;华为概念;华为盘古;百度概念;高铁;专精特新;储能;锂电池概念;钠离子电池;融资融券,33
301219.SZ,16,301219,金属钴;金属镍;小金属概念;金属铜;金属回收;动力电池回收;固态电池;锂电池概念;宁德时代概念;2025年报预增;专精特新;一带一路;人民币贬值受益;2026一季报预增;深股通;融资融券,33
300857.SZ,40,300857,EDR概念;算力租赁;英伟达概念;云游戏;东数西算(算力);云计算;存储芯片;共封装光学(CPO);数据中心;AI眼镜;智能音箱;芯片概念;腾讯概念;智能穿戴;AI智能体;AIGC概念;汽车电子;消费电子概念;人脸识别;车联网(车路协同);安防;小米概念;物联网;DeepSeek概念;短剧游戏;人工智能;AI应用;人形机器人;2025年报预增;机器人概念;网络游戏;粤港澳大湾区;智能家居;人民币贬值受益;家用电器;净水概念;跨境电商;2026一季报预增;融资融券;深股通,33
688287.SH,10,688287,ST板块;商业航天;军民融合;智慧城市;军工;无人机;低空经济;安防;人工智能;专精特新,22
688655.SH,14,688655,共封装光学(CPO);PCB概念;5G;汽车电子;智能穿戴;智能座舱;专精特新;粤港澳大湾区;新能源汽车;机器人概念;医疗器械概念;绿色电力;股权转让(并购重组);融资融券,17
300943.SZ,16,300943,商业航天;卫星导航;核电;军民融合;军工;无人机;汽车热管理;传感器;智慧城市;芯片概念;新能源汽车;燃料电池;氢能源;天然气;股权转让(并购重组);融资融券,33
301396.SZ,31,301396,算力租赁;财税数字化;云计算;东数西算(算力);多模态AI;ChatGPT概念;智慧政务;信创;腾讯概念;AI智能体;数据要素;数据中心;空间计算;MR(混合现实);DeepSeek概念;华为概念;智慧城市;安防;数字经济;AI应用;人工智能;物联网;职业教育;智能医疗;专精特新;智能物流;乡村振兴;旅游概念;新型城镇化;深股通;融资融券,33
301629.SZ,8,301629,存储芯片;芯片概念;专精特新;机器视觉;比亚迪概念;华为概念;深股通;融资融券,33
688084.SH,6,688084,军工;无人机;高端装备;机器人概念;沪股通;融资融券,17
300903.SZ,28,300903,共封装光学(CPO);先进封装;MiniLED;存储芯片;PCB概念;汽车电子;芯片概念;消费电子概念;5G;毫米波雷达;小米概念;数据中心;专精特新;新能源汽车;比亚迪概念;充电桩;储能;血氧仪;无人机;机器人概念;军工;工业互联网;低空经济;锂电池概念;粤港澳大湾区;钠离子电池;深股通;融资融券,33
300301.SZ,5,300301,ST板块;PPP概念;跨境电商;人民币贬值受益;储能,33
688693.SH,8,688693,汽车芯片;第三代半导体;芯片概念;专精特新;无人机;充电桩;智能电网;融资融券,17
688048.SH,14,688048,共封装光学(CPO);光纤概念;第三代半导体;芯片概念;数据中心;汽车芯片;可控核聚变;商业航天;华为概念;无人驾驶;专精特新;医美概念;沪股通;融资融券,17
300858.SZ,8,300858,幽门螺杆菌概念;创新药;医美概念;宠物经济;三胎概念;乳业;土壤修复;京津冀一体化,33
688523.SH,9,688523,商业航天;卫星导航;航空发动机;大飞机;无人机;低空经济;专精特新;沪股通;融资融券,17
688525.SH,23,688525,存储芯片;国家大基金持股;汽车芯片;先进封装;AI PC;AI手机;芯片概念;AI眼镜;消费电子概念;智能穿戴;2025年报预增;小米概念;数据中心;专精特新;华为概念;比亚迪概念;人形机器人;机器人概念;粤港澳大湾区;信创;阿里巴巴概念;沪股通;融资融券,17
300938.SZ,15,300938,汽车拆解概念;军民融合;AI眼镜;军工;比亚迪概念;小米概念;低空经济;华为汽车;华为概念;特斯拉概念;机器人概念;食品安全;DeepSeek概念;深股通;融资融券,33
301228.SZ,3,301228,食品安全;土壤修复;融资融券,33
688409.SH,7,688409,光刻机;芯片概念;专精特新;回购增持再贷款概念;DeepSeek概念;沪股通;融资融券,17
688519.SH,11,688519,PCB概念;共封装光学(CPO);MiniLED;存储芯片;5G;新能源汽车;专精特新;华为概念;2025年报预增;沪股通;融资融券,17
300817.SZ,10,300817,减速器;两轮车;机器人概念;新能源汽车;长三角一体化;专精特新;特斯拉概念;军工;风电;商业航天,33
688418.SH,32,688418,卫星导航;商业航天;6G概念;网络安全;智慧政务;军工;量子科技;AI智能体;车联网(车路协同);无人机;低空经济;智慧城市;WiFi 6;智慧灯杆;人工智能;华为概念;DeepSeek概念;物联网;飞行汽车(eVTOL);5G;无人驾驶;工业互联网;数据中心;机器人概念;华为数字能源;F5G概念;光纤概念;养老概念;储能;一带一路;沪股通;融资融券,17
688387.SH,20,688387,卫星导航;6G概念;商业航天;网络安全;东数西算(算力);低空经济;车联网(车路协同);人工智能;5G;DeepSeek概念;机器视觉;物联网;芯片概念;工业互联网;专精特新;AI应用;央企国企改革;国企改革;沪股通;融资融券,17
300593.SZ,11,300593,商业航天;卫星导航;军民融合;军工;5G;芯片概念;专精特新;数据中心;储能;融资融券;深股通,33
688270.SH,11,688270,卫星导航;军工信息化;商业航天;6G概念;军民融合;军工;无人机;芯片概念;2025年报预增;沪股通;融资融券,17
300438.SZ,23,300438,钠离子电池;两轮车;虚拟电厂;固态电池;储能;锂电池概念;深股通;石墨烯;充电桩;新型烟草(电子烟);燃料电池;粤港澳大湾区;长安汽车概念;新能源汽车;低空经济;无线耳机;独角兽概念;机器人概念;无人机;军工;小米概念;消费电子概念;融资融券,33
301310.SZ,18,301310,飞行汽车(eVTOL);人形机器人;新能源汽车;比亚迪概念;军工;机器人概念;宁德时代概念;专精特新;核电;高压快充;充电桩;可控核聚变;创投;储能;铜缆高速连接;光伏概念;深股通;融资融券,33
688552.SH,9,688552,军民融合;军工信息化;军工;低空经济;央企国企改革;专精特新;国企改革;沪股通;融资融券,17
300911.SZ,10,300911,算力租赁;东数西算(算力);腾讯概念;阿里巴巴概念;AIGC概念;DeepSeek概念;人工智能;家用电器;深股通;融资融券,33
688006.SH,6,688006,固态电池;锂电池概念;动力电池回收;特斯拉概念;沪股通;融资融券,17
601588.SH,9,601588,物业管理;国企改革;养老概念;京津冀一体化;回购增持再贷款概念;数字经济;小米概念;沪股通;融资融券,17
002157.SZ,6,002157,猪肉;土地流转;乡村振兴;碳中和;深股通;融资融券,33
600664.SH,13,600664,维生素;医药电商;流感;仿制药一致性评价;肝炎概念;创新药;黑龙江自贸区;三胎概念;养老概念;跨境电商;DeepSeek概念;沪股通;融资融券,17
002647.SZ,9,002647,芯片概念;移动支付;东数西算(算力);数字货币;跨境支付(CIPS);云计算;区块链;互联网金融;摘帽,33
002314.SZ,16,002314,物业管理;统一大市场;国企改革;冷链物流;跨境电商;绿色电力;智能物流;一带一路;天然气;粤港澳大湾区;车联网(车路协同);专精特新;储能;海工装备;国产航母;深股通,33
002124.SZ,7,002124,猪肉;预制菜;绿色电力;元宇宙;机器人概念;深股通;摘帽,33
002328.SZ,9,002328,液冷服务器;特斯拉概念;新能源汽车;长三角一体化;储能;数据中心;创投;一带一路;融资融券,33
