股票代码,code,market_code,所属概念,所属概念数量
301531.SZ,301531,33,注册制次新股;新股与次新股;融资融券,3
603407.SH,603407,17,注册制次新股;新股与次新股;融资融券,3
920699.BJ,920699,151,融资融券;比亚迪概念;华为概念;家用电器;东数西算(算力),5
920125.BJ,920125,151,消费电子概念;PCB概念;芯片概念;新能源汽车;先进封装;储能;新股与次新股;融资融券,8
920186.BJ,920186,151,存储芯片;量子科技;5G;中字头股票;国家大基金持股;中芯国际概念;第三代半导体;芯片概念;专精特新;新股与次新股;融资融券;国企改革;2026一季报预增,13
688189.SH,688189,17,流感;仿制药一致性评价;创新药;数字经济;国企改革;融资融券,6
688551.SH,688551,17,芯片概念;光伏概念;专精特新;储能;华为概念;比亚迪概念;新能源汽车;低空经济;宁德时代概念;燃料电池;固态电池;氢能源;融资融券,13
688603.SH,688603,17,先进封装;PCB概念;芯片概念;沪股通;融资融券,5
688328.SH,688328,17,MiniLED;电子纸;柔性屏(折叠屏);存储芯片;先进封装;共封装光学(CPO);消费电子概念;OLED;智能穿戴;AI眼镜;芯片概念;MR(混合现实);虚拟现实;第三代半导体;新型工业化;专精特新;华为概念;机器视觉;小米概念;机器人概念;新能源汽车;锂电池概念;融资融券,23
688146.SH,688146,17,光刻机;中船系;氟化工概念;中芯国际概念;国家大基金持股;固态电池;芯片概念;锂电池概念;央企国企改革;国企改革;沪股通;融资融券;中字头股票,13
300302.SZ,300302,33,存储芯片;东数西算(算力);云计算;数据安全;数据中心;信创;芯片概念;卫星导航;国产操作系统;专精特新;军工信息化;军工;深股通;融资融券,14
688766.SH,688766,17,存储芯片;MCU芯片;芯片概念;汽车电子;华为概念;小米概念;融资融券;沪股通,8
301188.SZ,301188,33,医疗器械概念;回购增持再贷款概念;融资融券,3
688545.SH,688545,17,国家大基金持股;存储芯片;中芯国际概念;芯片概念;光刻胶;独角兽概念;国企改革;磷化工;沪股通;融资融券,10
688618.SH,688618,17,光纤概念;智慧灯杆;高铁;WiFi 6;水利;安防;专精特新;海工装备;无人驾驶;5G;物联网;智能物流;车联网(车路协同);新型工业化;网络安全;智能电网;智慧城市;机器人概念;数字经济;工业互联网;人工智能;华为概念;一带一路;星闪概念;DeepSeek概念;芯片概念;充电桩;换电概念;粤港澳大湾区;风电;储能;融资融券,32
