market_code,股票代码,所属概念数量,所属概念,code
33,301196.SZ,17,光纤概念;新型烟草(电子烟);消费电子概念;新能源汽车;专精特新;海峡两岸;机器人概念;家用电器;PEEK材料;储能;福建自贸区;医疗器械概念;养老概念;三胎概念;宠物经济;深股通;融资融券,301196
33,300265.SZ,15,柔性直流输电;特高压;智能电网;光纤概念;成飞概念;风电;大飞机;海工装备;军民融合;商业航天;军工;5G;光伏概念;机器人概念;融资融券,300265
33,300959.SZ,12,拼多多概念;小红书概念;短剧游戏;抖音概念(字节概念);快手概念;腾讯概念;阿里巴巴概念;文化传媒概念;华为概念;深股通;股权转让(并购重组);融资融券,300959
33,301197.SZ,13,专精特新;华为概念;智慧城市;人工智能;新型城镇化;信创;建筑节能;回购增持再贷款概念;数据要素;华为鲲鹏;蚂蚁集团概念;雄安新区;融资融券,301197
33,300449.SZ,14,数字水印;知识产权保护;人脸识别;网络安全;AI智能体;车联网(车路协同);安防;智慧城市;人工智能;东数西算(算力);华为概念;垃圾分类;军工;股权转让(并购重组),300449
33,300004.SZ,7,3D打印;核电;专精特新;PM2.5;粤港澳大湾区;一带一路;国企改革,300004
151,920274.BJ,6,2025年报预增;海峡两岸;融资融券;国企改革;锂电池概念;专精特新,920274
33,301531.SZ,3,注册制次新股;新股与次新股;融资融券,301531
17,688300.SH,6,先进封装;存储芯片;芯片概念;专精特新;沪股通;融资融券,688300
17,688037.SH,10,存储芯片;先进封装;中芯国际概念;华为海思概念股;芯片概念;光刻胶;专精特新;国企改革;沪股通;融资融券,688037
151,920200.BJ,3,风电;新股与次新股;融资融券,920200
33,300292.SZ,27,阿里巴巴概念;百度概念;数据中心;5G;华为概念;智能座舱;信创;云计算;ChatGPT概念;汽车电子;移动支付;毫米波雷达;车联网(车路协同);物联网;鸿蒙概念;光纤概念;数字经济;华为鲲鹏;DeepSeek概念;长安汽车概念;传感器;新能源汽车;储能;军工;汽车热管理;跨境电商;深股通,300292
33,300720.SZ,3,物联网;机器人概念;股权转让(并购重组),300720
33,300133.SZ,30,短剧游戏;Sora概念(文生视频);知识产权保护;AI语料;文化传媒概念;抖音概念(字节概念);手机游戏;虚拟数字人;智谱AI;AIGC概念;多模态AI;NFT概念;算力租赁;腾讯概念;AI应用;百度概念;阿里巴巴概念;IP经济(谷子经济);元宇宙;AI智能体;数据要素;东数西算(算力);网红经济;DeepSeek概念;人工智能;华为概念;旅游概念;冰雪产业;融资融券;深股通,300133
33,300903.SZ,28,共封装光学(CPO);MiniLED;PCB概念;先进封装;存储芯片;5G;消费电子概念;数据中心;汽车电子;芯片概念;毫米波雷达;血氧仪;小米概念;比亚迪概念;充电桩;专精特新;储能;新能源汽车;无人机;军工;机器人概念;工业互联网;锂电池概念;粤港澳大湾区;低空经济;钠离子电池;深股通;融资融券,300903
33,300626.SZ,7,特斯拉概念;军工;新能源汽车;机器人概念;家用电器;医药电商;国企改革,300626
151,920179.BJ,6,股权转让(并购重组);芯片概念;中芯国际概念;融资融券;专精特新;光伏概念,920179
33,300632.SZ,36,PET铜箔;先进封装;MiniLED;共封装光学(CPO);第三代半导体;柔性屏(折叠屏);PCB概念;富士康概念;消费电子概念;芯片概念;OLED;无线耳机;人形机器人;智能穿戴;汽车电子;AI眼镜;固态电池;传感器;比亚迪概念;5G;锂电池概念;机器人概念;福建自贸区;家用电器;无人机;脑机接口;无人驾驶;海峡两岸;人民币贬值受益;鸿蒙概念;充电桩;养老概念;储能;医美概念;一带一路;消毒剂,300632
17,688120.SH,10,中芯国际概念;存储芯片;先进封装;芯片概念;第三代半导体;专精特新;MicroLED概念;国企改革;沪股通;融资融券,688120
33,300736.SZ,3,华为概念;区块链;苹果概念,300736
33,300395.SZ,9,PCB概念;OLED;光纤概念;5G;芯片概念;同花顺新质50;光伏概念;融资融券;深股通,300395
17,688663.SH,13,华为数字能源;可控核聚变;核电;数据中心;风电;光热发电;储能;光伏概念;阿里巴巴概念;稀土永磁;国企改革;融资融券;股权转让(并购重组),688663
33,300209.SZ,7,算力租赁;柔性屏(折叠屏);物联网;人民币贬值受益;跨境电商;深股通;摘帽,300209
17,688693.SH,9,汽车芯片;第三代半导体;芯片概念;专精特新;新能源汽车;无人机;充电桩;智能电网;融资融券,688693
33,301392.SZ,13,富士康概念;第三代半导体;苹果概念;芯片概念;PET铜箔;专精特新;比亚迪概念;锂电池概念;光伏概念;钙钛矿电池;TOPCON电池;深股通;融资融券,301392
33,300829.SZ,8,土地流转;玉米;农业种植;乡村振兴;可降解塑料;参股银行;回购增持再贷款概念;2025年报预增,300829
33,300264.SZ,16,MR(混合现实);空间计算;专精特新;虚拟现实;华为概念;在线教育;人工智能;国产操作系统;元宇宙;文化传媒概念;云游戏;Web3.0;百度概念;虚拟数字人;AIGC概念;股权转让(并购重组),300264
33,301095.SZ,12,共封装光学(CPO);光刻机;第三代半导体;存储芯片;芯片概念;专精特新;信创;AI智能体;人工智能;DeepSeek概念;深股通;融资融券,301095
33,301183.SZ,14,F5G概念;共封装光学(CPO);6G概念;华为手机;消费电子概念;汽车电子;无人驾驶;专精特新;虚拟现实;小米概念;华为概念;2025年报预增;深股通;融资融券,301183
151,920046.BJ,9,光伏概念;抖音概念(字节概念);专精特新;高铁;储能;一带一路;数据中心;融资融券;智能电网,920046
17,600076.SH,8,乡村振兴;碳中和;回购增持再贷款概念;国企改革;芯片概念;碳交易;土地流转;融资融券,600076
17,600530.SH,4,养老概念;幽门螺杆菌概念;宠物经济;沪股通,600530
17,603007.SH,10,储能;新能源汽车;机器人概念;新型城镇化;PPP概念;传感器;装配式建筑;汽车芯片;摘帽;股权转让(并购重组),603007
33,002081.SZ,14,第三代半导体;芯片概念;新型城镇化;装配式建筑;光伏建筑一体化;数据中心;长三角一体化;PPP概念;一带一路;人工智能;数字孪生;深股通;融资融券;智能家居,002081
33,000601.SZ,14,生物质能发电;抽水蓄能;绿色电力;东数西算(算力);充电桩;数据中心;储能;回购增持再贷款概念;长安汽车概念;新能源汽车;比亚迪概念;减速器;深股通;融资融券,000601
151,920028.BJ,6,比亚迪概念;宁德时代概念;华为概念;5G;新股与次新股;融资融券,920028
17,600719.SH,1,国企改革,600719
17,600667.SH,11,存储芯片;先进封装;OLED;芯片概念;数据中心;回购增持再贷款概念;光伏建筑一体化;绿色电力;国企改革;沪股通;融资融券,600667
17,603070.SH,7,智能电网;数字经济;储能;共同富裕示范区;数据中心;沪股通;融资融券,603070
17,600683.SH,8,特色小镇;物业管理;土地流转;旅游概念;养老概念;国企改革;创投;京津冀一体化,600683
17,603269.SH,7,液冷服务器;数据中心;核电;超超临界发电;海峡两岸;氢能源;一带一路,603269
33,000925.SZ,36,数据确权;ChatGPT概念;信创;数字水印;算力租赁;时空大数据;东数西算(算力);多模态AI;车联网(车路协同);数据要素;虚拟数字人;智慧城市;华为概念;元宇宙;芯片概念;数字孪生;先进封装;人工智能;数据中心;数字经济;高铁;工业互联网;机器视觉;空间计算;无人驾驶;卫星导航;机器人概念;无人机;低空经济;回购增持再贷款概念;医疗器械概念;乡村振兴;商业航天;一带一路;合成生物;深股通,000925
17,600172.SH,8,培育钻石;第三代半导体;回购增持再贷款概念;国企改革;物业管理;旅游概念;沪股通;融资融券,600172
33,002208.SZ,9,独角兽概念;新型城镇化;创投;长三角一体化;租售同权;养老概念;物业管理;国企改革;深股通,002208
17,601991.SH,10,绿色电力;风电;储能;雅下水电概念;核电;央企国企改革;国企改革;2025年报预增;沪股通;融资融券,601991
