所属概念数量,market_code,code,所属概念,股票代码
18,151,920190,乡村振兴;智能穿戴;DeepSeek概念;融资融券;多模态AI;AI智能体;信创;人工智能;消费电子概念;电子竞技;星闪概念;WiFi 6;AI PC;AIGC概念;无线耳机;AI眼镜;跨境电商;IP经济(谷子经济),920190.BJ
18,151,920876,2025年报预增;在线教育;移动支付;融资融券;数字经济;芯片概念;安防;人工智能;智能家居;鸿蒙概念;信创;智慧政务;物联网;机器人概念;消费电子概念;AI PC;专精特新;5G,920876.BJ
11,33,300103,新型城镇化;智慧城市;腾讯概念;高端装备;军工;充电桩;一带一路;固废处理;西部大开发;金属回收;股权转让(并购重组),300103.SZ
1,33,300849,可降解塑料,300849.SZ
61,33,301236,华为欧拉;华为昇腾;华为盘古;云计算;华为鲲鹏;多模态AI;ERP概念;ChatGPT概念;数据安全;中国AI 50;财税数字化;国产操作系统;信创;算力租赁;AI智能体;百度概念;鸿蒙概念;数字乡村;数字货币;东数西算(算力);阿里巴巴概念;AI应用;数据要素;区块链;抖音概念(字节概念);腾讯概念;AIGC概念;虚拟数字人;互联网金融;DeepSeek概念;车联网(车路协同);英伟达概念;在线教育;元宇宙;数字经济;数字孪生;AI PC;人工智能;跨境支付(CIPS);智能医疗;华为概念;工业互联网;职业教育;低空经济;虚拟电厂;无人驾驶;液冷服务器;机器人概念;小米概念;京津冀一体化;智能座舱;5G;人形机器人;长安汽车概念;芯片概念;换电概念;一带一路;跨境电商;养老概念;深股通;融资融券,301236.SZ
8,33,300649,新型城镇化;共同富裕示范区;PPP概念;IP经济(谷子经济);雄安新区;水利;碳中和;区块链,300649.SZ
10,33,301329,新能源汽车;消费电子概念;海峡两岸;商业航天;5G;卫星导航;储能;光伏概念;光纤概念;融资融券,301329.SZ
17,33,301439,充电桩;高压快充;储能;海峡两岸;智能家居;一带一路;中俄贸易概念;新能源汽车;比亚迪概念;家用电器;小米概念;消费电子概念;小米汽车;铜缆高速连接;富士康概念;深股通;融资融券,301439.SZ
12,33,301107,传感器;机器人概念;专精特新;新能源汽车;汽车电子;农机;无人机;减速器;乡村振兴;西部大开发;氢能源;融资融券,301107.SZ
16,33,300956,专精特新;小米概念;消费电子概念;机器人概念;人民币贬值受益;锂电池概念;人形机器人;光伏概念;HJT电池;储能;AI PC;TOPCON电池;固态电池;光伏建筑一体化;绿色电力;融资融券,300956.SZ
18,33,301139,西部大开发;京津冀一体化;ST板块;数字乡村;数字经济;AI应用;人工智能;车联网(车路协同);数据要素;算力租赁;智慧城市;机器人概念;华为概念;储能;东数西算(算力);光伏概念;充电桩;5G,301139.SZ
21,33,300197,土壤修复;PPP概念;雄安新区;污水处理;垃圾分类;新型城镇化;水利;智慧城市;旅游概念;充电桩;乡村振兴;碳中和;粤港澳大湾区;地下管网;国企改革;一带一路;央企国企改革;回购增持再贷款概念;农业种植;深股通;融资融券,300197.SZ
