股票代码,market_code,所属概念数量,所属概念,code
001399.SZ,33,13,MicroLED概念;智能穿戴;工业互联网;注册制次新股;新股与次新股;融资融券;消费电子概念;芯片概念;电子纸;AI PC;OLED;MiniLED;小米概念,001399
920363.BJ,151,18,高端装备;车联网(车路协同);融资融券;机器人概念;专精特新;传感器;机器视觉;安防;新型城镇化;军民融合;军工;卫星导航;农机;商业航天;DeepSeek概念;生态农业;无人机;无人驾驶,920363
920405.BJ,151,5,数据中心(AIDC);工业互联网;融资融券;固态电池;储能,920405
300264.SZ,33,16,云游戏;MR(混合现实);Web3.0;专精特新;国产操作系统;文化传媒概念;虚拟现实;元宇宙;在线教育;虚拟数字人;AIGC概念;华为概念;空间计算;人工智能;百度概念;股权转让(并购重组),300264
688409.SH,17,6,光刻机;芯片概念;专精特新;DeepSeek概念;沪股通;融资融券,688409
688432.SH,17,7,中芯国际概念;存储芯片;芯片概念;硅能源;绿色电力;沪股通;融资融券,688432
688596.SH,17,17,中芯国际概念;第三代半导体;存储芯片;芯片概念;光纤概念;氟化工概念;光伏概念;专精特新;锂电池概念;储能;高端装备;氢能源;磷化工;医疗器械概念;合成生物;沪股通;融资融券,688596
301349.SZ,33,12,光纤概念;钠离子电池;固态电池;高压快充;锂电池概念;储能;钒电池;光伏概念;碳纤维;专精特新;深股通;融资融券,301349
300540.SZ,33,13,天然气;氢能源;商业航天;燃料电池;智慧灯杆;专精特新;西部大开发;一带一路;国企改革;储能;充电桩;车联网(车路协同);深股通,300540
300162.SZ,33,19,MicroLED概念;足球概念;柔性屏(折叠屏);元宇宙;在线教育;MiniLED;智能家居;体育产业;安防;人工智能;商业航天;专精特新;DeepSeek概念;消费电子概念;人民币贬值受益;粤港澳大湾区;海峡两岸;先进封装;芯片概念,300162
301051.SZ,33,6,柔性屏(折叠屏);智能穿戴;消费电子概念;储能;深股通;融资融券,301051
300338.SZ,33,10,职业教育;ST板块;在线教育;虚拟数字人;元宇宙;ChatGPT概念;百度概念;储能;虚拟电厂;钠离子电池,300338
688584.SH,17,5,芯片概念;专精特新;人民币贬值受益;沪股通;融资融券,688584
300668.SZ,33,6,ERP概念;数据确权;华为概念;AIGC概念;新型城镇化;股权转让(并购重组),300668
688156.SH,17,5,专精特新;污水处理;固废处理;合成生物;融资融券,688156
300260.SZ,33,10,光刻机;中芯国际概念;OLED;芯片概念;液冷服务器;数据中心(AIDC);海峡两岸;食品安全;融资融券;深股通,300260
300749.SZ,33,5,人工智能;智能家居;海工装备;家用电器;商业航天,300749
300088.SZ,33,32,电子纸;AI手机;MicroLED概念;智能座舱;汽车电子;柔性屏(折叠屏);东数西算(算力);OLED;智能穿戴;消费电子概念;苹果概念;先进封装;小米概念;算力租赁;虚拟现实;商业航天;比亚迪概念;华为概念;车联网(车路协同);华为汽车;光伏概念;元宇宙;新能源汽车;特斯拉概念;储能;石墨烯;固态电池;锂电池概念;一带一路;国企改革;深股通;融资融券,300088
920438.BJ,151,13,商业航天;无人驾驶;6G概念;芯片概念;消费电子概念;核污染防治;海工装备;专精特新;比亚迪概念;军工;核电;先进封装;融资融券,920438
300592.SZ,33,17,无人机;华为概念;消费电子概念;AIGC概念;人民币贬值受益;AI智能体;元宇宙;人工智能;ChatGPT概念;AI应用;家用电器;华为盘古;虚拟现实;智能穿戴;跨境电商;股权转让(并购重组);深股通,300592
688392.SH,17,18,先进封装;芯片概念;PET铜箔;液冷服务器;专精特新;比亚迪概念;宁德时代概念;军工;固态电池;新能源汽车;碳纤维;储能;人形机器人;人工智能;锂电池概念;医疗器械概念;沪股通;融资融券,688392
301096.SZ,33,15,创新药;幽门螺杆菌概念;CRO概念;仿制药一致性评价;流感;眼科医疗;毛发医疗;医美概念;医疗器械概念;智能医疗;宠物经济;人工智能;AI应用;深股通;融资融券,301096
300877.SZ,33,5,储能;2025年报预增;创投;特斯拉概念;融资融券,300877
300084.SZ,33,13,可燃冰;俄乌冲突概念;军工;页岩气;西部大开发;核电;海工装备;氢能源;天然气;高端装备;人工智能;深股通;股权转让(并购重组),300084
