股票代码,market_code,code,所属概念数量,所属概念
301583.SZ,33,301583,8,高端装备;先进封装;存储芯片;新股与次新股;注册制次新股;融资融券;专精特新;芯片概念
920943.BJ,151,920943,11,航空发动机;海工装备;人民币贬值受益;低空经济;中俄贸易概念;商业航天;核电;无人机;风电;西部大开发;融资融券
920267.BJ,151,920267,9,粤港澳大湾区;海峡两岸;跨境电商;专精特新;MCU芯片;融资融券;智能家居;家用电器;芯片概念
920081.BJ,151,920081,6,空气能热泵;新股与次新股;融资融券;家用电器;专精特新;人民币贬值受益
300065.SZ,33,300065,23,军工信息化;商业航天;军工;国产航母;高端装备;传感器;专精特新;海工装备;云计算;机器人概念;腾讯概念;东数西算(算力);数据要素;数据中心(AIDC);阿里巴巴概念;人工智能;算力租赁;DeepSeek概念;京津冀一体化;风电;深股通;融资融券;股权转让(并购重组)
688523.SH,17,688523,9,航空发动机;卫星导航;大飞机;商业航天;无人机;低空经济;专精特新;沪股通;融资融券
688710.SH,17,688710,8,CRO概念;细胞免疫治疗;创新药;智能医疗;国企改革;央企国企改革;沪股通;融资融券
300255.SZ,33,300255,6,创新药;减肥药;医美概念;深股通;雄安新区;融资融券
301117.SZ,33,301117,26,军工信息化;军民融合;卫星导航;商业航天;网络安全;军工;数据安全;华为昇腾;智慧政务;DRG/DIP;AI智能体;东数西算(算力);移动支付;安防;人工智能;区块链;数据中心(AIDC);数字经济;华为概念;DeepSeek概念;智能医疗;西部大开发;芯片概念;汽车芯片;深股通;融资融券
300069.SZ,33,300069,6,特高压;燃料电池;智能电网;商业航天;核电;文化传媒概念
688722.SH,17,688722,11,人形机器人;专精特新;机器人概念;大飞机;商业航天;军工;海工装备;医疗器械概念;国企改革;央企国企改革;融资融券
300786.SZ,33,300786,22,光刻胶;存储芯片;光刻机;先进封装;OLED;芯片概念;专精特新;HJT电池;光伏概念;商业航天;净水概念;空气能热泵;家用电器;医疗器械概念;海工装备;中俄贸易概念;污水处理;雄安新区;冷链物流;新疆振兴;煤化工概念;股权转让(并购重组)
300918.SZ,33,300918,10,人形机器人;机器人概念;商业航天;军民融合;智能穿戴;中俄贸易概念;C2M概念;跨境电商;深股通;融资融券
920885.BJ,151,920885,12,卫星导航;国产航母;商业航天;储能;西部大开发;新能源汽车;融资融券;军民融合;无人驾驶;专精特新;风电;军工
300071.SZ,33,300071,22,小红书概念;AI视频;Web3.0;AI语料;ChatGPT概念;AIGC概念;虚拟数字人;多模态AI;文化传媒概念;AI应用;数据要素;抖音概念(字节概念);百度概念;元宇宙;腾讯概念;数字经济;DeepSeek概念;人工智能;京津冀一体化;华为概念;比亚迪概念;深股通
300105.SZ,33,300105,12,雄安新区;DeepSeek概念;碳中和;固废处理;风电;国企改革;华为概念;PM2.5;超超临界发电;央企国企改革;储能;光伏概念
301326.SZ,33,301326,14,苹果概念;消费电子概念;富士康概念;芯片概念;液冷服务器;3D打印;比亚迪概念;无人机;宁德时代概念;锂电池概念;人民币贬值受益;固态电池;深股通;融资融券
688238.SH,17,688238,9,细胞免疫治疗;智能医疗;CRO概念;基因测序;重组蛋白;人工智能;上海自贸区;专精特新;融资融券
301367.SZ,33,301367,6,医疗器械概念;京津冀一体化;人民币贬值受益;机器人概念;深股通;融资融券
688328.SH,17,688328,23,存储芯片;先进封装;共封装光学(CPO);第三代半导体;OLED;芯片概念;MiniLED;柔性屏(折叠屏);消费电子概念;电子纸;AI眼镜;MR(混合现实);智能穿戴;专精特新;华为概念;虚拟现实;小米概念;锂电池概念;机器视觉;新能源汽车;新型工业化;机器人概念;融资融券
301092.SZ,33,301092,12,净水概念;盐湖提锂;核污染防治;减肥药;专精特新;污水处理;稀土永磁;核电;超超临界发电;芯片概念;深股通;融资融券
920576.BJ,151,920576,9,专精特新;商业航天;可控核聚变;西部大开发;核电;海工装备;融资融券;国企改革;卫星导航
301588.SZ,33,301588,4,粤港澳大湾区;人民币贬值受益;商业航天;融资融券
300487.SZ,33,300487,21,盐湖提锂;金属钴;金属镍;小金属概念;锂电池概念;金属回收;比亚迪概念;芯片概念;专精特新;净水概念;固废处理;减肥药;存储芯片;工业大麻;核污染防治;西部大开发;生物疫苗;碳中和;碳交易;融资融券;深股通
300911.SZ,33,300911,10,算力租赁;东数西算(算力);腾讯概念;阿里巴巴概念;AIGC概念;DeepSeek概念;人工智能;家用电器;深股通;融资融券
300933.SZ,33,300933,10,智能电网;特高压;充电桩;东数西算(算力);算力租赁;高压快充;专精特新;机器人概念;光伏概念;融资融券
688539.SH,17,688539,15,商业航天;军工;无人机;传感器;专精特新;海工装备;芯片概念;机器人概念;高铁;工业互联网;卫星导航;高端装备;人形机器人;沪股通;融资融券
301230.SZ,33,301230,13,CRO概念;创新药;智能医疗;流感;合成生物;医疗器械概念;ChatGPT概念;AI应用;多模态AI;人工智能;人民币贬值受益;深股通;融资融券
300129.SZ,33,300129,11,商业航天;海工装备;高端装备;专精特新;光伏概念;风电;国企改革;新疆振兴;绿色电力;深股通;融资融券
688202.SH,17,688202,9,CRO概念;减肥药;创新药;合成生物;智能医疗;人工智能;AI应用;沪股通;融资融券
920169.BJ,151,920169,12,商业航天;融资融券;核电;风电;成飞概念;高铁;跨境电商;军民融合;军工;共同富裕示范区;专精特新;人民币贬值受益
688293.SH,17,688293,5,CRO概念;重组蛋白;沪股通;股权转让(并购重组);融资融券
300102.SZ,33,300102,17,卫星导航;商业航天;军工;福建自贸区;海峡两岸;光伏概念;汽车电子;消费电子概念;芯片概念;智能家居;人脸识别;家用电器;第三代半导体;共封装光学(CPO);MicroLED概念;MiniLED;深股通
301218.SZ,33,301218,31,智慧政务;数据安全;数据要素;AI应用;水利;人脸识别;阿里巴巴概念;智慧城市;人工智能;空间计算;网络安全;安防;共同富裕示范区;DeepSeek概念;物联网;一带一路;时空大数据;华为概念;机器视觉;传感器;低空经济;机器人概念;人形机器人;数据中心(AIDC);无人机;智能医疗;专精特新;智能电网;卫星导航;股权转让(并购重组);融资融券
301005.SZ,33,301005,26,卫星导航;航空发动机;商业航天;大飞机;军工;无人机;低空经济;专精特新;飞行汽车(eVTOL);PEEK材料;小米概念;机器人概念;汽车热管理;比亚迪概念;特斯拉概念;换电概念;新能源汽车;人形机器人;小米汽车;家用电器;华为汽车;创投;智能物流;氢能源;深股通;融资融券
300244.SZ,33,300244,27,DRG/DIP;AI应用;细胞免疫治疗;猴痘概念;ChatGPT概念;AIGC概念;AI智能体;数据要素;基因测序;CRO概念;智能医疗;多模态AI;职业教育;DeepSeek概念;三胎概念;养老概念;阿尔茨海默概念;肝炎概念;人工智能;阿里巴巴概念;辅助生殖;共同富裕示范区;医疗器械概念;冷链物流;华为概念;深股通;融资融券
688319.SH,17,688319,8,专精特新;幽门螺杆菌概念;西部大开发;流感;创新药;生物疫苗;沪股通;融资融券
301310.SZ,33,301310,18,军工;可控核聚变;核电;铜缆高速连接;飞行汽车(eVTOL);专精特新;宁德时代概念;新能源汽车;机器人概念;创投;比亚迪概念;人形机器人;高压快充;充电桩;储能;光伏概念;深股通;融资融券
688101.SH,17,688101,12,石墨烯;盐湖提锂;代糖概念;锂电池概念;净水概念;核污染防治;污水处理;西部大开发;海峡两岸;福建自贸区;沪股通;融资融券
688102.SH,17,688102,16,航空发动机;商业航天;可控核聚变;3D打印;共封装光学(CPO);芯片概念;核电;特高压;新能源汽车;充电桩;独角兽概念;DeepSeek概念;医疗器械概念;西部大开发;沪股通;融资融券
688726.SH,17,688726,11,BC电池;TOPCON电池;钙钛矿电池;第三代半导体;芯片概念;专精特新;光伏概念;比亚迪概念;先进封装;沪股通;融资融券
920478.BJ,151,920478,3,创新药;融资融券;CRO概念
300680.SZ,33,300680,29,减速器;汽车热管理;人形机器人;华为汽车;飞行汽车(eVTOL);军民融合;卫星导航;特斯拉概念;无人机;小米汽车;商业航天;机器人概念;军工;低空经济;传感器;PEEK材料;无人驾驶;智能座舱;新能源汽车;比亚迪概念;毫米波雷达;专精特新;燃料电池;华为概念;6G概念;蚂蚁集团概念;氢能源;机器视觉;深股通
300528.SZ,33,300528,4,短剧游戏;文化传媒概念;国企改革;深股通
002808.SZ,37,002808,0,
300984.SZ,33,300984,2,深股通;融资融券
688511.SH,17,688511,10,军工信息化;商业航天;专精特新;军工;军民融合;人工智能;锂电池概念;西部大开发;融资融券;摘帽
000573.SZ,33,000573,9,广东自贸区;物业管理;创投;粤港澳大湾区;锂电池概念;动力电池回收;互联网金融;金属回收;金属铅
920925.BJ,151,920925,7,芯片概念;融资融券;跨境电商;医疗器械概念;专精特新;智能医疗;人民币贬值受益
600664.SH,17,600664,13,流感;医药电商;维生素;仿制药一致性评价;肝炎概念;创新药;黑龙江自贸区;三胎概念;养老概念;跨境电商;DeepSeek概念;沪股通;融资融券
002121.SZ,33,002121,12,电力物联网;虚拟电厂;智能电网;充电桩;储能;锂电池概念;绿色电力;新能源汽车;机器人概念;一带一路;深股通;融资融券
