所属概念数量,code,股票代码,所属概念,market_code
13,920690,920690.BJ,光刻机;人形机器人;飞行汽车(eVTOL);汽车热管理;低空经济;汽车电子;专精特新;新能源汽车;芯片概念;特斯拉概念;机器人概念;军工;融资融券,151
8,688496,688496.SH,电子纸;ST板块;华为概念;智能家居;专精特新;小米概念;AI眼镜;OLED,22
26,300067,300067.SZ,算力租赁;染料;东数西算(算力);英伟达概念;C2M概念;AI视频;多模态AI;百度概念;区块链;独角兽概念;AIGC概念;海工装备;长三角一体化;DeepSeek概念;AI应用;污水处理;人工智能;IP经济(谷子经济);柔性屏(折叠屏);PPP概念;芯片概念;军工;宠物经济;数据中心(AIDC);深股通;融资融券,33
18,301421,301421.SZ,光刻机;PCB概念;芯片概念;消费电子概念;AI眼镜;3D打印;专精特新;机器视觉;无人机;无人驾驶;锂电池概念;机器人概念;安防;医疗器械概念;基因测序;2026中报预增;深股通;融资融券,33
18,301139,301139.SZ,ST板块;AI应用;数字乡村;数字经济;数据要素;车联网(车路协同);京津冀一体化;人工智能;智慧城市;机器人概念;西部大开发;算力租赁;华为概念;东数西算(算力);充电桩;储能;光伏概念;5G,33
48,300663,300663.SZ,财税数字化;华为盘古;无人零售;数字货币;Web3.0;化债概念(AMC概念);跨境支付(CIPS);移动支付;AI应用;华为欧拉;互联网金融;虚拟数字人;数据确权;数字乡村;鸿蒙概念;智谱AI;数据要素;区块链;华为鲲鹏;AI智能体;蚂蚁集团概念;乡村振兴;智慧城市;脑机接口;数字经济;电子身份证;信创;数据安全;网络安全;DeepSeek概念;京津冀一体化;人工智能;百度概念;云计算;腾讯概念;阿里巴巴概念;创投;物联网;华为昇腾;量子科技;华为概念;商业航天;小米概念;东数西算(算力);数据中心(AIDC);芯片概念;深股通;融资融券,33
27,300290,300290.SZ,DRG/DIP;云计算;网络安全;智慧政务;华为欧拉;华为鲲鹏;信创;鸿蒙概念;多模态AI;AI应用;智慧城市;DeepSeek概念;人工智能;数字孪生;数字经济;智能医疗;在线教育;独角兽概念;华为概念;机器人概念;虚拟现实;数据中心(AIDC);专精特新;智能电网;国企改革;光伏概念;ST板块,33
12,300753,300753.SZ,脑机接口;AI应用;人工智能;养老概念;机器人概念;专精特新;医疗器械概念;血氧仪;三胎概念;医美概念;流感;医药电商,33
10,300293,300293.SZ,光刻机;新型工业化;工业母机;高端装备;特斯拉概念;人民币贬值受益;人工智能;氢能源;一带一路;深股通,33
9,300901,300901.SZ,人民币贬值受益;新疆振兴;英伟达概念;三胎概念;虚拟数字人;多模态AI;AIGC概念;东数西算(算力);融资融券,33
15,300746,300746.SZ,数据要素;智慧城市;数字经济;DeepSeek概念;水利;机器人概念;建筑节能;新型城镇化;无人驾驶;垃圾分类;污水处理;装配式建筑;氢能源;天然气;股权转让(并购重组),33
10,300809,300809.SZ,人形机器人;工业母机;新型工业化;机器人概念;高端装备;专精特新;第三代半导体;光刻机;一带一路;深股通,33
4,300637,300637.SZ,PCB概念;磷化工;专精特新;芯片概念,33
9,920118,920118.BJ,储能;柔性直流输电;智能电网;新能源汽车;光伏概念;工业互联网;专精特新;融资融券,151
25,300250,300250.SZ,华为鲲鹏;云办公;数据安全;信创;智慧政务;网络安全;Web3.0;鸿蒙概念;AI智能体;数字乡村;AI应用;东数西算(算力);数字经济;物联网;人工智能;虚拟现实;华为概念;工业互联网;卫星导航;智能家居;5G;WiFi 6;共同富裕示范区;F5G概念;深股通,33
2,920717,920717.BJ,天然气;融资融券,151
4,300798,300798.SZ,算力租赁;东数西算(算力);AI智能体;染料,33
5,300892,300892.SZ,乳业;网红经济;三胎概念;啤酒概念;融资融券,33
5,920238,920238.BJ,新股与次新股;融资融券;工业母机;专精特新,151
4,301234,301234.SZ,人民币贬值受益;专精特新;医疗器械概念;融资融券,33
5,600303,600303.SH,长安汽车概念;燃料电池;新能源汽车;军工;氢能源,17
23,002309,002309.SZ,光伏建筑一体化;绿色电力;TOPCON电池;碳中和;风电;国企改革;海工装备;钙钛矿电池;高铁;一带一路;智能电网;充电桩;光伏概念;储能;军民融合;军工;锂电池概念;深股通;华为概念;新能源汽车;5G;比亚迪概念;融资融券,33
5,000517,000517.SZ,物业管理;建筑节能;长三角一体化;深股通;融资融券,33
