所属同花顺行业,market_code,股票代码,code
基础化工-橡胶制品-其他橡胶制品,151,920188.BJ,920188
电子-半导体-分立器件,17,688693.SH,688693
国防军工-军工装备-航空装备,33,300900.SZ,300900
医药生物-医疗器械-医疗设备,17,688677.SH,688677
家用电器-白色家电-家电零部件,33,301008.SZ,301008
环保-环保设备-环保设备Ⅲ,33,300385.SZ,300385
农林牧渔-农产品加工-畜禽饲料,17,688156.SH,688156
机械设备-通用设备-金属制品,17,688308.SH,688308
有色金属-金属新材料-其他金属新材料,151,920078.BJ,920078
农林牧渔-养殖业-其他养殖,33,300313.SZ,300313
医药生物-生物制品-其他生物制品,17,688336.SH,688336
有色金属-金属新材料-其他金属新材料,151,920576.BJ,920576
汽车-汽车零部件-其他汽车零部件,33,301005.SZ,301005
环保-环境治理-水务及水治理,33,300961.SZ,300961
计算机-IT服务-IT服务Ⅲ,33,300300.SZ,300300
机械设备-通用设备-金属制品,17,688257.SH,688257
计算机-计算机设备-其他计算机设备,17,688288.SH,688288
基础化工-塑料制品-其他塑料制品,33,301216.SZ,301216
有色金属-工业金属-铝,33,002501.SZ,002501
建筑装饰-建筑装饰-基础建设,17,600502.SH,600502
有色金属-工业金属-铝,33,002578.SZ,002578
综合-综合-综合Ⅲ,33,000753.SZ,000753
农林牧渔-种植业与林业-其他种植业,17,600359.SH,600359
有色金属-工业金属-铝,17,601388.SH,601388
基础化工-塑料制品-膜材料,17,600135.SH,600135
机械设备-通用设备-制冷空调设备,33,002686.SZ,002686
农林牧渔-种植业与林业-林业,33,000592.SZ,000592
医药生物-化学制药-化学制剂,33,002675.SZ,002675
基础化工-化学原料-其他化学原料,17,600955.SH,600955
农林牧渔-养殖业-生猪养殖,33,000048.SZ,000048
有色金属-工业金属-铝,33,002160.SZ,002160
基础化工-农化制品-农药,33,003042.SZ,003042
建筑材料-建筑材料-玻璃玻纤,17,603601.SH,603601
环保-环保设备-环保设备Ⅲ,33,000890.SZ,000890
纺织服饰-服装家纺-服装,33,002634.SZ,002634
医药生物-医药商业-医药流通,17,603122.SH,603122
通信-通信设备-通信线缆及配套,17,600487.SH,600487
医药生物-医药商业-医药流通,17,603716.SH,603716
电力设备-电网设备-线缆部件及其他,17,603618.SH,603618
医药生物-化学制药-原料药,17,603538.SH,603538
电子-电子化学品-电子化学品Ⅲ,17,603256.SH,603256
通信-通信设备-通信线缆及配套,17,601869.SH,601869
机械设备-专用设备-其他专用设备,33,001400.SZ,001400
电子-半导体-半导体设备,17,603061.SH,603061
电力设备-电网设备-电气自控设备,33,002980.SZ,002980
电力设备-电网设备-线缆部件及其他,17,603897.SH,603897
电力设备-电池-锂电池,33,002850.SZ,002850
电力设备-光伏设备-光伏电池组件,17,603778.SH,603778
机械设备-轨交设备-轨交设备Ⅲ,33,000008.SZ,000008
通信-通信设备-其他通信设备,17,600345.SH,600345
有色金属-工业金属-铝,17,600219.SH,600219
汽车-汽车零部件-其他汽车零部件,17,603358.SH,603358
电子-光学光电子-光学元件,33,002222.SZ,002222
医药生物-化学制药-化学制剂,17,600513.SH,600513
计算机-软件开发-垂直应用软件,17,600602.SH,600602
医药生物-医疗器械-医疗设备,33,002432.SZ,002432
轻工制造-家居用品-其他家居用品,17,603272.SH,603272
