股票代码,所属同花顺行业,market_code,code
920270.BJ,汽车-汽车零部件-车身附件及饰件,151,920270
920438.BJ,电子-光学光电子-光学元件,151,920438
301028.SZ,机械设备-通用设备-其他通用设备,33,301028
300488.SZ,机械设备-通用设备-金属制品,33,300488
301183.SZ,电子-光学光电子-光学元件,33,301183
300283.SZ,电力设备-电网设备-输变电设备,33,300283
688260.SH,电子-消费电子-消费电子零部件及组装,17,688260
688818.SH,国防军工-军工装备-航天装备,17,688818
300258.SZ,汽车-汽车零部件-底盘与发动机系统,33,300258
300716.SZ,电力设备-光伏设备-光伏电池组件,33,300716
301369.SZ,电子-半导体-半导体设备,33,301369
920036.BJ,计算机-计算机设备-安防设备,151,920036
301666.SZ,电子-半导体-数字芯片设计,33,301666
300736.SZ,电子-其他电子-其他电子Ⅲ,33,300736
301030.SZ,环保-环保设备-环保设备Ⅲ,33,301030
688033.SH,电力设备-光伏设备-光伏辅材,22,688033
688523.SH,国防军工-军工装备-航天装备,17,688523
688655.SH,电子-元件-印制电路板,17,688655
688017.SH,机械设备-自动化设备-机器人,17,688017
301387.SZ,电子-消费电子-消费电子零部件及组装,33,301387
688096.SH,环保-环境治理-水务及水治理,17,688096
300106.SZ,食品饮料-饮料制造-乳品,33,300106
300819.SZ,纺织服饰-纺织制造-其他纺织,33,300819
300247.SZ,家用电器-小家电-小家电Ⅲ,33,300247
301696.SZ,国防军工-军工装备-航空装备,33,301696
688693.SH,电子-半导体-分立器件,17,688693
300839.SZ,石油石化-石油加工贸易-石油加工,33,300839
688449.SH,电子-半导体-数字芯片设计,17,688449
688001.SH,机械设备-专用设备-其他专用设备,17,688001
300840.SZ,纺织服饰-服装家纺-服装,33,300840
920002.BJ,机械设备-工程机械-工程机械Ⅲ,151,920002
920028.BJ,基础化工-塑料制品-其他塑料制品,151,920028
300671.SZ,电子-半导体-模拟芯片设计,33,300671
688048.SH,电子-半导体-分立器件,17,688048
920078.BJ,有色金属-金属新材料-其他金属新材料,151,920078
688511.SH,国防军工-军工电子-军工电子Ⅲ,17,688511
688783.SH,电子-半导体-半导体材料,17,688783
300834.SZ,基础化工-塑料制品-改性塑料,33,300834
300095.SZ,机械设备-专用设备-能源及重型设备,33,300095
301111.SZ,医药生物-中药-中药Ⅲ,33,301111
920571.BJ,交通运输-港口航运-航运,151,920571
000839.SZ,通信-通信服务-通信应用增值服务,33,000839
300983.SZ,建筑装饰-建筑装饰-工程咨询服务,33,300983
600076.SH,轻工制造-包装印刷-包装,17,600076
600724.SH,房地产-房地产-商业地产,17,600724
002642.SZ,计算机-IT服务-IT服务Ⅲ,33,002642
600222.SH,医药生物-中药-中药Ⅲ,17,600222
000720.SZ,电力设备-电网设备-线缆部件及其他,33,000720
603028.SH,机械设备-通用设备-金属制品,17,603028
600480.SH,汽车-汽车零部件-其他汽车零部件,17,600480
600984.SH,机械设备-工程机械-工程机械Ⅲ,17,600984
605169.SH,公用事业-燃气-燃气Ⅲ,17,605169
600748.SH,房地产-房地产-住宅开发,17,600748
002798.SZ,轻工制造-家居用品-瓷砖地板,33,002798
603878.SH,钢铁-钢铁-普钢,17,603878
603278.SH,机械设备-通用设备-金属制品,17,603278
000678.SZ,汽车-汽车零部件-底盘与发动机系统,33,000678
002624.SZ,传媒-游戏-游戏Ⅲ,33,002624
000782.SZ,基础化工-化学纤维-其他纤维,33,000782
600589.SH,计算机-IT服务-IT服务Ⅲ,17,600589
600992.SH,机械设备-通用设备-金属制品,17,600992
002474.SZ,计算机-IT服务-IT服务Ⅲ,33,002474
600683.SH,房地产-房地产-住宅开发,17,600683
603937.SH,有色金属-工业金属-铝,17,603937
603012.SH,机械设备-专用设备-能源及重型设备,17,603012
600130.SH,电子-消费电子-消费电子零部件及组装,17,600130
002629.SZ,建筑装饰-建筑装饰-基础建设,33,002629
002965.SZ,汽车-汽车零部件-其他汽车零部件,33,002965
002930.SZ,交通运输-物流-物流Ⅲ,33,002930
603373.SH,社会服务-其他社会服务-专业服务,17,603373
002866.SZ,电子-消费电子-消费电子零部件及组装,33,002866
600855.SH,国防军工-军工电子-军工电子Ⅲ,17,600855
002491.SZ,通信-通信设备-通信线缆及配套,33,002491
000710.SZ,医药生物-医疗服务-其他医疗服务,33,000710
605566.SH,基础化工-化学制品-纺织化学用品,17,605566
600783.SH,非银金融-多元金融-多元金融Ⅲ,17,600783
000547.SZ,国防军工-军工电子-军工电子Ⅲ,33,000547
603400.SH,机械设备-通用设备-其他通用设备,17,603400
600343.SH,机械设备-通用设备-其他通用设备,17,600343
002865.SZ,电力设备-光伏设备-光伏电池组件,33,002865
603667.SH,机械设备-通用设备-金属制品,17,603667
002317.SZ,医药生物-中药-中药Ⅲ,33,002317
002902.SZ,通信-通信设备-通信网络设备及器件,33,002902
603459.SH,电子-元件-印制电路板,17,603459
