所属同花顺行业,股票代码,market_code,code
电力设备-其他电源设备-其他电源设备Ⅲ,301669.SZ,33,301669
轻工制造-造纸-造纸Ⅲ,920394.BJ,151,920394
电子-消费电子-消费电子零部件及组装,920357.BJ,151,920357
机械设备-专用设备-其他专用设备,300411.SZ,33,300411
计算机-IT服务-IT服务Ⅲ,688207.SH,17,688207
电子-半导体-半导体材料,688126.SH,17,688126
电子-半导体-分立器件,688711.SH,17,688711
轻工制造-包装印刷-包装,300260.SZ,33,300260
通信-通信服务-通信应用增值服务,301428.SZ,33,301428
电子-半导体-半导体材料,688783.SH,17,688783
机械设备-专用设备-其他专用设备,688596.SH,17,688596
电子-半导体-模拟芯片设计,688368.SH,17,688368
电子-半导体-半导体设备,688478.SH,17,688478
电子-电子化学品-电子化学品Ⅲ,301630.SZ,33,301630
电子-半导体-半导体设备,688409.SH,17,688409
机械设备-专用设备-其他专用设备,301013.SZ,33,301013
计算机-IT服务-IT服务Ⅲ,688500.SH,17,688500
电子-半导体-模拟芯片设计,688141.SH,17,688141
电力设备-电池-其他电池,301222.SZ,33,301222
电力设备-其他电源设备-其他电源设备Ⅲ,300593.SZ,33,300593
电子-其他电子-其他电子Ⅲ,300656.SZ,33,300656
基础化工-塑料制品-改性塑料,300221.SZ,33,300221
电子-消费电子-消费电子零部件及组装,688260.SH,17,688260
电力设备-其他电源设备-其他电源设备Ⅲ,688719.SH,17,688719
国防军工-军工电子-军工电子Ⅲ,688788.SH,17,688788
电子-电子化学品-电子化学品Ⅲ,688549.SH,17,688549
通信-通信设备-通信网络设备及器件,300570.SZ,33,300570
电子-半导体-半导体材料,688584.SH,17,688584
环保-环境治理-水务及水治理,688096.SH,17,688096
基础化工-塑料制品-其他塑料制品,920056.BJ,151,920056
电子-元件-印制电路板,688519.SH,17,688519
电子-半导体-半导体材料,300666.SZ,33,300666
电力设备-光伏设备-光伏加工设备,688556.SH,17,688556
电力设备-光伏设备-光伏加工设备,300316.SZ,33,300316
电子-电子化学品-电子化学品Ⅲ,300576.SZ,33,300576
医药生物-中药-中药Ⅲ,300878.SZ,33,300878
医药生物-医疗器械-体外诊断,300482.SZ,33,300482
电子-半导体-半导体材料,688432.SH,17,688432
建筑材料-建筑材料-玻璃玻纤,301526.SZ,33,301526
电子-电子化学品-电子化学品Ⅲ,300285.SZ,33,300285
电子-半导体-半导体设备,688785.SH,17,688785
电力设备-其他电源设备-其他电源设备Ⅲ,688551.SH,17,688551
建筑装饰-建筑装饰-装饰园林,301098.SZ,33,301098
有色金属-金属新材料-磁性材料,300835.SZ,33,300835
电子-半导体-半导体材料,920526.BJ,151,920526
机械设备-通用设备-仪器仪表,688665.SH,17,688665
电子-元件-被动元件,300408.SZ,33,300408
电子-半导体-分立器件,300373.SZ,33,300373
机械设备-通用设备-磨具磨料,300606.SZ,33,300606
基础化工-塑料制品-膜材料,688323.SH,17,688323
电力设备-其他电源设备-其他电源设备Ⅲ,300870.SZ,33,300870
电子-半导体-半导体材料,920179.BJ,151,920179
商贸零售-互联网电商-互联网电商Ⅲ,300592.SZ,33,300592
电子-半导体-半导体材料,688233.SH,17,688233
电子-电子化学品-电子化学品Ⅲ,688020.SH,17,688020
机械设备-通用设备-制冷空调设备,301018.SZ,33,301018
电子-电子化学品-电子化学品Ⅲ,920402.BJ,151,920402
基础化工-塑料制品-其他塑料制品,301196.SZ,33,301196
基础化工-化学制品-其他化学制品,688625.SH,17,688625
计算机-IT服务-IT服务Ⅲ,688787.SH,17,688787
电子-半导体-模拟芯片设计,300671.SZ,33,300671
基础化工-塑料制品-膜材料,300806.SZ,33,300806
电子-其他电子-其他电子Ⅲ,301031.SZ,33,301031
电力设备-电池-锂电池,688388.SH,17,688388
电子-半导体-半导体材料,688234.SH,17,688234
通信-通信设备-通信网络设备及器件,301205.SZ,33,301205
电力设备-电池-锂电专用设备,688006.SH,17,688006
电子-其他电子-其他电子Ⅲ,688662.SH,17,688662
汽车-汽车零部件-汽车电子电气系统,301607.SZ,33,301607
基础化工-化学制品-涂料油墨,920206.BJ,151,920206
机械设备-通用设备-仪器仪表,688056.SH,17,688056
通信-通信设备-通信网络设备及器件,300548.SZ,33,300548
电子-半导体-模拟芯片设计,688484.SH,17,688484
机械设备-通用设备-其他通用设备,300145.SZ,33,300145
电子-元件-印制电路板,301176.SZ,33,301176
电力设备-电池-电池化学品,688733.SH,17,688733
汽车-汽车零部件-其他汽车零部件,300816.SZ,33,300816
电子-半导体-模拟芯片设计,688508.SH,17,688508
环保-环保设备-环保设备Ⅲ,688376.SH,17,688376
汽车-汽车零部件-汽车电子电气系统,300304.SZ,33,300304
电子-电子化学品-电子化学品Ⅲ,300398.SZ,33,300398
电子-元件-印制电路板,688183.SH,17,688183
电子-半导体-模拟芯片设计,688512.SH,17,688512
商贸零售-零售-专业连锁,300755.SZ,33,300755
电子-半导体-半导体设备,688605.SH,17,688605
基础化工-化学制品-涂料油墨,300522.SZ,33,300522
机械设备-自动化设备-机器人,688290.SH,17,688290
电力设备-电池-锂电池,301511.SZ,33,301511
国防军工-军工电子-军工电子Ⅲ,301592.SZ,33,301592
医药生物-化学制药-化学制剂,300254.SZ,33,300254
基础化工-化学纤维-其他纤维,688722.SH,17,688722
电子-半导体-半导体材料,301611.SZ,33,301611
通信-通信设备-通信网络设备及器件,688205.SH,17,688205
电子-元件-印制电路板,300814.SZ,33,300814
电子-半导体-分立器件,688261.SH,17,688261
基础化工-化学制品-其他化学制品,301286.SZ,33,301286
机械设备-通用设备-仪器仪表,688610.SH,17,688610
电子-光学光电子-面板,688781.SH,17,688781
基础化工-塑料制品-膜材料,002263.SZ,33,002263
建筑材料-建筑材料-耐火材料,002225.SZ,33,002225
电子-光学光电子-面板,000509.SZ,33,000509
公用事业-电力-热力,600226.SH,17,600226
交通运输-公路铁路运输-公交,600611.SH,17,600611
基础化工-塑料制品-其他塑料制品,603330.SH,17,603330
