股票代码,market_code,所属同花顺行业,code
001399.SZ,33,电子-光学光电子-面板,001399
920363.BJ,151,机械设备-通用设备-仪器仪表,920363
920405.BJ,151,机械设备-自动化设备-工控设备,920405
300264.SZ,33,计算机-IT服务-IT服务Ⅲ,300264
688409.SH,17,电子-半导体-半导体设备,688409
688432.SH,17,电子-半导体-半导体材料,688432
688596.SH,17,机械设备-专用设备-其他专用设备,688596
301349.SZ,33,电力设备-电池-电池化学品,301349
300540.SZ,33,机械设备-专用设备-其他专用设备,300540
300162.SZ,33,电子-光学光电子-LED,300162
301051.SZ,33,电子-消费电子-消费电子零部件及组装,301051
300338.SZ,33,社会服务-教育-教育Ⅲ,300338
688584.SH,17,电子-半导体-半导体材料,688584
300668.SZ,33,社会服务-其他社会服务-专业服务,300668
688156.SH,17,农林牧渔-农产品加工-畜禽饲料,688156
300260.SZ,33,轻工制造-包装印刷-包装,300260
300749.SZ,33,轻工制造-家居用品-定制家居,300749
300088.SZ,33,电子-光学光电子-面板,300088
920438.BJ,151,电子-光学光电子-光学元件,920438
300592.SZ,33,商贸零售-互联网电商-互联网电商Ⅲ,300592
688392.SH,17,电力设备-电池-锂电专用设备,688392
301096.SZ,33,医药生物-医疗服务-医疗研发外包,301096
300877.SZ,33,纺织服饰-纺织制造-其他纺织,300877
300084.SZ,33,机械设备-专用设备-能源及重型设备,300084
301236.SZ,33,计算机-IT服务-IT服务Ⅲ,301236
300762.SZ,33,国防军工-军工电子-军工电子Ⅲ,300762
688328.SH,17,机械设备-专用设备-其他专用设备,688328
688272.SH,17,国防军工-军工电子-军工电子Ⅲ,688272
688168.SH,17,计算机-软件开发-横向通用软件,688168
920402.BJ,151,电子-电子化学品-电子化学品Ⅲ,920402
301611.SZ,33,电子-半导体-半导体材料,301611
688818.SH,17,国防军工-军工装备-航天装备,688818
920961.BJ,151,机械设备-通用设备-仪器仪表,920961
300720.SZ,33,机械设备-通用设备-仪器仪表,300720
688028.SH,17,机械设备-通用设备-磨具磨料,688028
688535.SH,17,电子-半导体-半导体材料,688535
600545.SH,17,机械设备-专用设备-纺织服装设备,600545
601016.SH,17,公用事业-电力-新能源发电,601016
002910.SZ,33,食品饮料-饮料制造-乳品,002910
603861.SH,17,电力设备-电网设备-输变电设备,603861
002930.SZ,33,交通运输-物流-物流Ⅲ,002930
002129.SZ,33,电力设备-光伏设备-硅料硅片,002129
603903.SH,17,环保-环境治理-水务及水治理,603903
605366.SH,17,基础化工-化学制品-有机硅,605366
002253.SZ,33,计算机-软件开发-垂直应用软件,002253
605296.SH,17,农林牧渔-养殖业-生猪养殖,605296
001289.SZ,33,公用事业-电力-新能源发电,001289
001210.SZ,33,公用事业-电力-热力,001210
605399.SH,17,基础化工-化学制品-有机硅,605399
600962.SH,17,食品饮料-饮料制造-软饮料,600962
002119.SZ,33,电子-半导体-半导体材料,002119
000823.SZ,33,电子-元件-印制电路板,000823
002962.SZ,33,电子-光学光电子-光学元件,002962
002559.SZ,33,机械设备-通用设备-机床工具,002559
002965.SZ,33,汽车-汽车零部件-其他汽车零部件,002965
600343.SH,17,机械设备-通用设备-其他通用设备,600343
603163.SH,17,建筑装饰-建筑装饰-专业工程,603163
001270.SZ,33,国防军工-军工电子-军工电子Ⅲ,001270
600367.SH,17,基础化工-化学原料-无机盐,600367
603698.SH,17,机械设备-专用设备-能源及重型设备,603698
001400.SZ,33,机械设备-专用设备-其他专用设备,001400
601133.SH,17,建筑装饰-建筑装饰-专业工程,601133
603956.SH,17,机械设备-专用设备-其他专用设备,603956
603261.SH,17,国防军工-军工装备-航空装备,603261
603722.SH,17,基础化工-化学制品-其他化学制品,603722
002106.SZ,33,电子-光学光电子-面板,002106
002568.SZ,33,食品饮料-饮料制造-其他酒类,002568
001389.SZ,33,电子-元件-印制电路板,001389
