股票代码,code,所属同花顺行业,market_code
920510.BJ,920510,机械设备-通用设备-金属制品,151
920211.BJ,920211,机械设备-自动化设备-机器人,151
920193.BJ,920193,电力设备-电池-电池化学品,151
920002.BJ,920002,机械设备-工程机械-工程机械Ⅲ,151
920096.BJ,920096,机械设备-自动化设备-其他自动化设备,151
301199.SZ,301199,机械设备-自动化设备-机器人,33
300580.SZ,300580,汽车-汽车零部件-底盘与发动机系统,33
300985.SZ,300985,机械设备-通用设备-金属制品,33
300779.SZ,300779,环保-环境治理-固废治理,33
301499.SZ,301499,汽车-汽车零部件-汽车电子电气系统,33
300912.SZ,300912,汽车-汽车零部件-其他汽车零部件,33
301379.SZ,301379,电子-光学光电子-面板,33
300718.SZ,300718,机械设备-通用设备-金属制品,33
301596.SZ,301596,机械设备-通用设备-其他通用设备,33
688311.SH,688311,国防军工-军工电子-军工电子Ⅲ,17
300018.SZ,300018,电力设备-电网设备-电气自控设备,33
300129.SZ,300129,电力设备-风电设备-风电零部件,33
688017.SH,688017,机械设备-自动化设备-机器人,17
301051.SZ,301051,电子-消费电子-消费电子零部件及组装,33
300503.SZ,300503,机械设备-通用设备-其他通用设备,33
300817.SZ,300817,机械设备-通用设备-金属制品,33
688523.SH,688523,国防军工-军工装备-航天装备,17
300403.SZ,300403,家用电器-白色家电-家电零部件,33
300163.SZ,300163,轻工制造-家居用品-其他家居用品,33
301225.SZ,301225,汽车-汽车零部件-底盘与发动机系统,33
300777.SZ,300777,国防军工-军工装备-航空装备,33
300660.SZ,300660,电力设备-电机-电机Ⅲ,33
301368.SZ,301368,机械设备-通用设备-金属制品,33
688636.SH,688636,国防军工-军工电子-军工电子Ⅲ,17
920932.BJ,920932,计算机-软件开发-垂直应用软件,151
300549.SZ,300549,机械设备-专用设备-其他专用设备,33
688114.SH,688114,医药生物-医疗器械-医疗设备,17
688270.SH,688270,电子-半导体-模拟芯片设计,22
300607.SZ,300607,机械设备-自动化设备-机器人,33
688322.SH,688322,电子-光学光电子-光学元件,17
688098.SH,688098,农林牧渔-养殖业-动物保健,17
301520.SZ,301520,医药生物-医疗服务-医疗研发外包,33
