股票代码,market_code,code,所属同花顺行业
300597.SZ,33,300597,通信-通信服务-通信工程及服务
600162.SH,17,600162,商贸零售-零售-商业物业经营
688646.SH,22,688646,机械设备-自动化设备-激光设备
002331.SZ,33,002331,计算机-IT服务-IT服务Ⅲ
002705.SZ,33,002705,家用电器-小家电-小家电Ⅲ
301589.SZ,33,301589,计算机-计算机设备-其他计算机设备
920403.BJ,151,920403,农林牧渔-种植业与林业-种子生产
600551.SH,17,600551,传媒-文化传媒-出版
600106.SH,17,600106,交通运输-公路铁路运输-高速公路
603105.SH,17,603105,公用事业-电力-新能源发电
300636.SZ,33,300636,医药生物-化学制药-原料药
000619.SZ,33,000619,建筑材料-建筑材料-其他建材
002098.SZ,33,002098,纺织服饰-纺织制造-辅料
300896.SZ,33,300896,美容护理-美容护理-医疗美容
688458.SH,17,688458,电子-半导体-模拟芯片设计
002797.SZ,33,002797,非银金融-证券-证券Ⅲ
300198.SZ,33,300198,建筑材料-建筑材料-管材
600226.SH,17,600226,公用事业-电力-热力
688011.SH,17,688011,国防军工-军工电子-军工电子Ⅲ
688132.SH,17,688132,国防军工-军工电子-军工电子Ⅲ
002646.SZ,33,002646,食品饮料-白酒-白酒Ⅲ
002957.SZ,33,002957,机械设备-自动化设备-工控设备
002131.SZ,33,002131,机械设备-通用设备-其他通用设备
001356.SZ,33,001356,轻工制造-家居用品-其他家居用品
601601.SH,17,601601,非银金融-保险-保险Ⅲ
600201.SH,17,600201,农林牧渔-养殖业-动物保健
002675.SZ,33,002675,医药生物-化学制药-化学制剂
002166.SZ,33,002166,基础化工-化学制品-食品及饲料添加剂
002678.SZ,33,002678,轻工制造-家居用品-文娱用品
688755.SH,17,688755,机械设备-专用设备-其他专用设备
688045.SH,17,688045,电子-半导体-模拟芯片设计
603326.SH,17,603326,轻工制造-家居用品-定制家居
600210.SH,17,600210,轻工制造-包装印刷-包装
002588.SZ,33,002588,基础化工-农化制品-复合肥
600547.SH,17,600547,有色金属-贵金属-贵金属Ⅲ
300898.SZ,33,300898,食品饮料-饮料制造-乳品
688276.SH,17,688276,医药生物-生物制品-疫苗
603511.SH,17,603511,纺织服饰-服装家纺-服装
000488.SZ,33,000488,轻工制造-造纸-造纸Ⅲ
688147.SH,17,688147,电子-半导体-半导体设备
688325.SH,17,688325,电子-半导体-模拟芯片设计
002881.SZ,33,002881,通信-通信设备-通信终端及配件
002949.SZ,33,002949,建筑装饰-建筑装饰-工程咨询服务
300295.SZ,33,300295,传媒-文化传媒-数字媒体
600503.SH,17,600503,房地产-房地产-住宅开发
600867.SH,17,600867,医药生物-生物制品-其他生物制品
002285.SZ,33,002285,房地产-房地产-房地产服务
002371.SZ,33,002371,电子-半导体-半导体设备
601198.SH,17,601198,非银金融-证券-证券Ⅲ
300181.SZ,33,300181,医药生物-中药-中药Ⅲ
300350.SZ,33,300350,交通运输-物流-物流Ⅲ
002306.SZ,33,002306,社会服务-旅游及酒店-餐饮
603421.SH,17,603421,通信-通信设备-通信网络设备及器件
600197.SH,17,600197,食品饮料-白酒-白酒Ⅲ
603839.SH,17,603839,纺织服饰-服装家纺-服装
002900.SZ,33,002900,医药生物-化学制药-化学制剂
002404.SZ,33,002404,纺织服饰-服装家纺-服装
603900.SH,17,603900,纺织服饰-服装家纺-饰品
300425.SZ,33,300425,环保-环境治理-水务及水治理
603365.SH,17,603365,纺织服饰-服装家纺-家纺
002873.SZ,33,002873,医药生物-中药-中药Ⅲ
600738.SH,17,600738,商贸零售-零售-商业物业经营
300247.SZ,33,300247,家用电器-小家电-小家电Ⅲ
603039.SH,17,603039,计算机-软件开发-横向通用软件
300203.SZ,33,300203,机械设备-通用设备-仪器仪表
600989.SH,17,600989,基础化工-化学原料-煤化工
002790.SZ,33,002790,轻工制造-家居用品-其他家居用品
603196.SH,17,603196,纺织服饰-服装家纺-服装
300824.SZ,33,300824,家用电器-小家电-小家电Ⅲ
688631.SH,17,688631,计算机-软件开发-垂直应用软件
002732.SZ,33,002732,食品饮料-饮料制造-乳品
300225.SZ,33,300225,基础化工-化学制品-涂料油墨
600651.SH,17,600651,汽车-汽车零部件-汽车电子电气系统
600692.SH,17,600692,房地产-房地产-住宅开发
300958.SZ,33,300958,环保-环境治理-综合环境治理
300625.SZ,33,300625,电子-光学光电子-LED
300081.SZ,33,300081,通信-通信服务-通信应用增值服务
688393.SH,17,688393,医药生物-医疗器械-体外诊断
920781.BJ,151,920781,机械设备-专用设备-能源及重型设备
002687.SZ,33,002687,纺织服饰-服装家纺-服装
002389.SZ,33,002389,国防军工-军工装备-航空装备
300856.SZ,33,300856,美容护理-美容护理-化妆品
002381.SZ,33,002381,基础化工-橡胶制品-其他橡胶制品
000637.SZ,33,000637,石油石化-石油加工贸易-石油加工
300987.SZ,33,300987,传媒-文化传媒-数字媒体
000153.SZ,33,000153,医药生物-化学制药-化学制剂
601107.SH,17,601107,交通运输-公路铁路运输-高速公路
688027.SH,17,688027,通信-通信设备-通信终端及配件
003008.SZ,33,003008,社会服务-其他社会服务-专业服务
002235.SZ,33,002235,轻工制造-造纸-造纸Ⅲ
605599.SH,17,605599,纺织服饰-服装家纺-饰品
920870.BJ,151,920870,机械设备-通用设备-机床工具
603727.SH,17,603727,石油石化-油气开采及服务-油服工程
600828.SH,17,600828,商贸零售-零售-百货零售
920925.BJ,151,920925,医药生物-医疗器械-医疗设备
300387.SZ,33,300387,基础化工-农化制品-复合肥
300027.SZ,33,300027,传媒-影视院线-影视院线Ⅲ
601033.SH,17,601033,环保-环境治理-固废治理
000932.SZ,33,000932,钢铁-钢铁-普钢
000609.SZ,33,000609,房地产-房地产-住宅开发
002421.SZ,33,002421,计算机-IT服务-IT服务Ⅲ
600742.SH,17,600742,汽车-汽车零部件-车身附件及饰件
603291.SH,17,603291,环保-环境治理-水务及水治理
300601.SZ,33,300601,医药生物-生物制品-疫苗
600743.SH,17,600743,房地产-房地产-房地产服务
000717.SZ,33,000717,钢铁-钢铁-普钢
300737.SZ,33,300737,建筑材料-建筑材料-其他建材
600313.SH,17,600313,农林牧渔-种植业与林业-种子生产
002130.SZ,33,002130,电子-其他电子-其他电子Ⅲ
600199.SH,17,600199,食品饮料-白酒-白酒Ⅲ
300883.SZ,33,300883,轻工制造-包装印刷-包装
301613.SZ,33,301613,汽车-汽车零部件-其他汽车零部件
600527.SH,17,600527,基础化工-化学纤维-其他纤维
002355.SZ,33,002355,汽车-汽车零部件-轮胎轮毂
688081.SH,17,688081,国防军工-军工电子-军工电子Ⅲ
301211.SZ,33,301211,医药生物-化学制药-原料药
601600.SH,17,601600,有色金属-工业金属-铝
000037.SZ,33,000037,公用事业-电力-火电
002869.SZ,33,002869,计算机-计算机设备-其他计算机设备
600963.SH,17,600963,轻工制造-造纸-造纸Ⅲ
300510.SZ,33,300510,电力设备-电网设备-电气自控设备
920000.BJ,151,920000,汽车-汽车零部件-底盘与发动机系统
001220.SZ,33,001220,交通运输-物流-物流Ⅲ
603390.SH,17,603390,汽车-汽车零部件-汽车电子电气系统
000962.SZ,33,000962,有色金属-小金属-其他小金属
301239.SZ,33,301239,医药生物-医疗服务-医院
000819.SZ,33,000819,石油石化-石油加工贸易-石油加工
605136.SH,17,605136,商贸零售-互联网电商-互联网电商Ⅲ
603025.SH,17,603025,机械设备-自动化设备-工控设备
600754.SH,17,600754,社会服务-旅游及酒店-酒店
603810.SH,17,603810,基础化工-农化制品-农药
601136.SH,17,601136,非银金融-证券-证券Ⅲ
300514.SZ,33,300514,电力设备-电网设备-电气自控设备
002722.SZ,33,002722,机械设备-专用设备-纺织服装设备
300642.SZ,33,300642,医药生物-医疗器械-体外诊断
601377.SH,17,601377,非银金融-证券-证券Ⅲ
920180.BJ,151,920180,医药生物-医疗器械-医疗耗材
000403.SZ,33,000403,医药生物-生物制品-血液制品
601898.SH,17,601898,煤炭-煤炭开采加工-煤炭开采
600739.SH,17,600739,医药生物-生物制品-疫苗
002316.SZ,33,002316,综合-综合-综合Ⅲ
002877.SZ,33,002877,机械设备-通用设备-金属制品
688334.SH,17,688334,社会服务-其他社会服务-专业服务
001209.SZ,33,001209,纺织服饰-服装家纺-服装
300981.SZ,33,300981,医药生物-医疗器械-医疗耗材
603187.SH,17,603187,机械设备-通用设备-制冷空调设备
600800.SH,17,600800,石油石化-石油加工贸易-石油加工
920075.BJ,151,920075,轻工制造-包装印刷-包装
301129.SZ,33,301129,机械设备-通用设备-仪器仪表
603373.SH,17,603373,社会服务-其他社会服务-专业服务
001236.SZ,33,001236,非银金融-多元金融-多元金融Ⅲ
603668.SH,17,603668,农林牧渔-农产品加工-水产饲料
001328.SZ,33,001328,美容护理-美容护理-个护用品
000822.SZ,33,000822,基础化工-化学原料-纯碱
