market_code,所属同花顺行业,股票代码,code
33,机械设备-通用设备-金属制品,301677.SZ,301677
151,机械设备-通用设备-仪器仪表,920685.BJ,920685
33,家用电器-厨卫电器-厨卫电器Ⅲ,300894.SZ,300894
33,计算机-软件开发-垂直应用软件,300996.SZ,300996
33,电力设备-电网设备-输变电设备,301668.SZ,301668
33,汽车-汽车零部件-底盘与发动机系统,301667.SZ,301667
33,社会服务-其他社会服务-专业服务,301449.SZ,301449
151,汽车-汽车零部件-底盘与发动机系统,920000.BJ,920000
17,电子-消费电子-消费电子零部件及组装,688260.SH,688260
33,计算机-软件开发-垂直应用软件,300605.SZ,300605
33,建筑装饰-建筑装饰-工程咨询服务,300989.SZ,300989
33,社会服务-教育-教育Ⅲ,300688.SZ,300688
151,石油石化-油气开采及服务-油服工程,920088.BJ,920088
151,机械设备-专用设备-印刷包装机械,920810.BJ,920810
33,石油石化-油气开采及服务-油服工程,300164.SZ,300164
33,医药生物-医疗器械-医疗耗材,300981.SZ,300981
33,纺织服饰-服装家纺-饰品,002731.SZ,002731
33,计算机-计算机设备-其他计算机设备,002512.SZ,002512
17,电力设备-电网设备-输变电设备,601616.SH,601616
17,食品饮料-饮料制造-软饮料,605388.SH,605388
17,商贸零售-零售-百货零售,600712.SH,600712
17,传媒-文化传媒-数字媒体,600228.SH,600228
33,有色金属-能源金属-锂,002667.SZ,002667
33,轻工制造-包装印刷-包装,002846.SZ,002846
33,电力设备-其他电源设备-其他电源设备Ⅲ,002534.SZ,002534
33,基础化工-塑料制品-膜材料,002585.SZ,002585
33,机械设备-通用设备-制冷空调设备,002686.SZ,002686
17,食品饮料-白酒-白酒Ⅲ,603919.SH,603919
33,社会服务-教育-教育Ⅲ,003032.SZ,003032
33,电力设备-电网设备-线缆部件及其他,002882.SZ,002882
17,建筑装饰-建筑装饰-工程咨询服务,600629.SH,600629
33,食品饮料-食品加工制造-预加工食品,002702.SZ,002702
17,电力设备-光伏设备-硅料硅片,603185.SH,603185
17,汽车-汽车零部件-汽车电子电气系统,603376.SH,603376
33,社会服务-旅游及酒店-餐饮,000721.SZ,000721
33,汽车-汽车零部件-底盘与发动机系统,002703.SZ,002703
17,汽车-汽车整车-商用载货车,600418.SH,600418
17,食品饮料-白酒-白酒Ⅲ,600702.SH,600702
33,基础化工-化学制品-民爆用品,002827.SZ,002827
33,机械设备-专用设备-能源及重型设备,001225.SZ,001225
33,电子-半导体-数字芯片设计,001309.SZ,001309
33,电力设备-电池-电池化学品,000009.SZ,000009
17,基础化工-农化制品-农药,605033.SH,605033
17,计算机-IT服务-IT服务Ⅲ,603171.SH,603171
17,汽车-汽车零部件-其他汽车零部件,603352.SH,603352
17,基础化工-化学纤维-其他纤维,603382.SH,603382
17,食品饮料-饮料制造-乳品,605179.SH,605179
33,基础化工-农化制品-农药,002258.SZ,002258
17,交通运输-物流-物流Ⅲ,603813.SH,603813
33,社会服务-教育-教育Ⅲ,000526.SZ,000526
17,计算机-软件开发-横向通用软件,603039.SH,603039
17,汽车-汽车零部件-车身附件及饰件,605068.SH,605068
17,建筑装饰-建筑装饰-装饰园林,603137.SH,603137
33,综合-综合-综合Ⅲ,000025.SZ,000025
17,汽车-汽车零部件-其他汽车零部件,603348.SH,603348
17,轻工制造-家居用品-瓷砖地板,603221.SH,603221
17,电力设备-电网设备-电气自控设备,603556.SH,603556
33,医药生物-化学制药-化学制剂,000566.SZ,000566
17,公用事业-电力-热力,600475.SH,600475
17,医药生物-化学制药-化学制剂,600513.SH,600513
17,钢铁-钢铁-普钢,601003.SH,601003
33,环保-环保设备-环保设备Ⅲ,000820.SZ,000820
17,计算机-计算机设备-其他计算机设备,603660.SH,603660
17,房地产-房地产-商业地产,600663.SH,600663
33,通信-通信设备-通信网络设备及器件,002547.SZ,002547
17,商贸零售-零售-商业物业经营,600162.SH,600162
33,美容护理-美容护理-医疗美容,002612.SZ,002612
33,家用电器-厨卫电器-厨卫电器Ⅲ,300911.SZ,300911
33,计算机-IT服务-IT服务Ⅲ,300290.SZ,300290
33,建筑材料-建筑材料-玻璃玻纤,301526.SZ,301526
17,计算机-软件开发-横向通用软件,688095.SH,688095
