涨停原因类别[20260313],股票代码,code,market_code
空气能热泵+装配式厨卫+灯塔工厂+一带一路,002084.SZ,002084,33
手套涨价+丁腈整合+热电联产+医疗器械,002382.SZ,002382,33
工业大麻+纺织机械+锂电池正极材料,600232.SH,600232,17
醋酸龙头+煤化工+国企改革,600746.SH,600746,17
业绩预盈+烟花爆竹+ST板块+退市博弈,600599.SH,600599,22
可控核聚变+C919配套+退市博弈,603261.SH,603261,22
,000638.SZ,000638,33
,002254.SZ,002254,33
,600108.SH,600108,17
,000657.SZ,000657,33
AI政务+养老+山东国资,600756.SH,600756,17
风电胶粘剂+半导体材料+唐山国资,002669.SZ,002669,33
帘子布+低空经济+军工材料,000677.SZ,000677,33
搅拌设备+核电设备+AI智能体+泛俄市场,603280.SH,603280,17
扭亏为盈+多肽出口+海南自贸区,002693.SZ,002693,33
光储大单+工程建设+韩国资金+央企,601669.SH,601669,17
,001270.SZ,001270,33
钢帘线剥离+光纤概念+环保设备,000890.SZ,000890,33
,002485.SZ,002485,33
氢能装备+煤化工+山西国资,600691.SH,600691,17
业绩增长+IC洁净室+中芯国际+东南亚订单,603929.SH,603929,17
绿电转型+热电联产+煤炭概念+央企,600726.SH,600726,17
瓶级聚酯切片+PTA龙头,600370.SH,600370,17
,600355.SH,600355,22
,600525.SH,600525,22
甲醇+尿素+化肥+煤炭,600227.SH,600227,17
重整+创新药CDMO+合成生物,000908.SZ,000908,33
年报增长+高股息+越南产能,603558.SH,603558,17
,600397.SH,600397,17
环氧丙烷技改+硬泡聚醚+化工板块,002165.SZ,002165,33
甲醇涨价+风电项目+河北国资,600722.SH,600722,17
磁材+算电协同+光伏龙头+储能,002056.SZ,002056,33
可控核聚变+氢能源+商业航天,002438.SZ,002438,33
CPO+智算中心+高速光模块,603803.SH,603803,17
焦炭+煤炭+循环经济,600408.SH,600408,17
风电+海缆扩产+商业航天,605222.SH,605222,17
,000488.SZ,000488,33
空气能热泵+出口增长+厨卫电器,002543.SZ,002543,33
,603681.SH,603681,17
,603813.SH,603813,22
减肥药+特色原料药+集采中选+业绩预增,603538.SH,603538,17
优必选入主+园林机械+汽车零部件,002931.SZ,002931,33
,002656.SZ,002656,33
,002281.SZ,002281,33
珠海国资+建筑装饰+中标项目,002789.SZ,002789,33
,002298.SZ,002298,33
拟购苏龙热电+火电转型+江阴国资,002445.SZ,002445,33
化肥涨价+磷矿建设+缓控释肥,002470.SZ,002470,33
合成生物+猪饲料+归还募资,001366.SZ,001366,33
铅酸电池+低压电源+西部大开发,600847.SH,600847,17
风电齿轮箱+大兆瓦产品,603248.SH,603248,17
建筑工程+抖音概念+物业管理,600234.SH,600234,17
,600381.SH,600381,22
风电+核电+飞轮储能+山东国资,300185.SZ,300185,33
扭亏预告+退市博弈,000004.SZ,000004,33
可控核聚变+核电建造+央企,601611.SH,601611,17
TOD轨道物业+北京国资+地产链回暖,600683.SH,600683,17
,002667.SZ,002667,33
煤炭涨价+郑州国资,600121.SH,600121,17
机器人+工业母机+苹果概念,002903.SZ,002903,33
风电海工+中标+导管架龙头,002531.SZ,002531,33
,600410.SH,600410,17
负极材料+马来西亚扩产+固态电池,603659.SH,603659,17
光伏建筑一体化+预重整+绿色电力,002620.SZ,002620,33
追觅入主+三片罐龙头+饮料灌装,002969.SZ,002969,33
风电铸件+业绩预增+收购轴承,601218.SH,601218,17
欧洲风电出口+深远海基地+业绩高增,002487.SZ,002487,33
重整预期+天然气+减亏,000669.SZ,000669,33
钠电扩产+低温SCR脱硝+CCUS+烟气治理,003027.SZ,003027,33
,002378.SZ,002378,33
,000533.SZ,000533,33
核防护手套+医疗器械+避孕套+厦门国资,300981.SZ,300981,33
冷柜+冰雪装备+青岛国资,600336.SH,600336,17
钢铁+甘肃国资+可控核聚变,600307.SH,600307,17
算力租赁+重整进展+基建转型,603843.SH,603843,22
甲醇+煤化工+陕西国资,002109.SZ,002109,33
供销社+采棉机+农机,603029.SH,603029,17
风电涂料+船舶涂料+光伏涂料,603062.SH,603062,17
CPO+MicroLED+深圳国资,002429.SZ,002429,33
IP卡牌+烟草防伪+激光全息,603607.SH,603607,17
光伏+储能+太阳能热水器,603366.SH,603366,17
光伏建筑一体化+光伏设备+枣庄国资,002323.SZ,002323,33
医用敷料+出口第一+回购完成+三胎概念,002950.SZ,002950,33
,000815.SZ,000815,33
,001896.SZ,001896,33
锂电铜箔+氨基酸+兽药饲料+热电联产,600226.SH,600226,17
探迹科技入主+毛毯龙头,003041.SZ,003041,33
能源化工装备+氢能源+核能装备+甘肃国资,603169.SH,603169,17
算力+市政基建+煤炭,000010.SZ,000010,33
化工板块+表面活性剂+印尼基地,002637.SZ,002637,33
