market_code,涨停原因类别[20260427],code,股票代码
17,算力租赁+PCB油墨+年报披露,603110,603110.SH
17,机器人订单+清洁电器+小米客户,603657,603657.SH
22,,600608,600608.SH
17,机器人芯片+模拟芯片+汽车电子,688381,688381.SH
17,,603586,603586.SH
17,,605183,605183.SH
17,,600053,600053.SH
33,,002324,002324.SZ
33,,002731,002731.SZ
17,,603359,603359.SH
17,一季报增长+绿电转型+热电联产+央企,600726,600726.SH
33,,001331,001331.SZ
17,,600422,600422.SH
33,,002977,002977.SZ
33,高端纺机+电子布纺织机+固态电池+纺织机器人,003036,003036.SZ
17,,600302,600302.SH
33,实控人变更+燃气+氢能+网红游资持仓,000593,000593.SZ
33,,002990,002990.SZ
33,,000909,000909.SZ
17,,601567,601567.SH
33,江西中久拟入主+房地产+环保+ST摘帽博弈,000838,000838.SZ
33,商旅夹克+投资收益+男装+年报增长,002029,002029.SZ
33,半导体资产注入+房地产+ST博弈,000609,000609.SZ
33,特高压线缆+一季报预增+航空零部件,002560,002560.SZ
17,超聚变IPO+AI应用+上海国资,600637,600637.SH
33,,002931,002931.SZ
17,AI算力+液冷服务器+年报扭亏,605289,605289.SH
33,ST摘帽博弈+拟收购必凯尔+体外诊断+回购,002932,002932.SZ
33,一季报增长+快递物流+反内卷,002120,002120.SZ
33,超充网络+储能微电网+ST保壳,002227,002227.SZ
17,,603097,603097.SH
17,机器人+AI结构件+消费电子+储能,603626,603626.SH
17,,600750,600750.SH
22,,600381,600381.SH
17,人形机器人+机器人零部件+年报增长,603211,603211.SH
33,,000004,000004.SZ
33,金钢瓷放量+竹基禾塑托盘+全竹产业链,001211,001211.SZ
17,土地收储补偿+一季报增长+氢能碳纸+央企,600433,600433.SH
22,,603828,603828.SH
33,,002620,002620.SZ
33,AI应用+世界杯+广州国资,002181,002181.SZ
33,,000632,000632.SZ
22,资金占用清偿+复牌+石墨新材料,600735,600735.SH
33,,002705,002705.SZ
33,一季报增长+LED驱动电源+储能,300582,300582.SZ
17,一季报增长+首店经济+仓储物流ABS,600693,600693.SH
33,智能物流+广西国资拟入主+*ST风险博弈,002175,002175.SZ
17,机器人关节模组+先进封装+空调风叶,603726,603726.SH
33,,002691,002691.SZ
22,,600636,600636.SH
33,一季报暴增+新能源材料+危废资源化,301500,301500.SZ
17,,600084,600084.SH
22,,603021,603021.SH
17,玻纤涨价+风电纱+山东国资,605006,605006.SH
17,工程装备+雅鲁藏布江水电+厦门国资,600815,600815.SH
17,脑机接口+智能电动床+适老化补贴,603610,603610.SH
33,一季度扭亏+固废处理+供应链服务,002210,002210.SZ
33,算力+超级电容器+浙江国资,002484,002484.SZ
17,氦气+燃气轮机掺氢+山东国资,603318,603318.SH
33,一季报大增+10转4派5+可控核聚变,001332,001332.SZ
22,,600421,600421.SH
33,PCB化学品+一季报高增,002741,002741.SZ
33,,002225,002225.SZ
33,控制权变更+扭亏预期+男装品牌+宝鸡国资,002569,002569.SZ
17,,600736,600736.SH
17,,603284,603284.SH
17,小核酸+GSK合作+首季盈利,688221,688221.SH
17,玻璃基板+ITC胜诉+国企改革,600707,600707.SH
33,退市博弈+固废处理+冶金设计,000820,000820.SZ
33,维生素B2+大健康布局+减亏+湖北国资,000952,000952.SZ
33,一季报高增+C2M定制+多品牌矩阵+创投,002154,002154.SZ
17,钠电储能+高倍率电池扩产+锂电产业链,600152,600152.SH
17,AI验布机+高端装备+提质增效,603095,603095.SH
17,PCIe5.0芯片+商业航天+科技转型+房地产,600246,600246.SH
33,,002787,002787.SZ
33,,002717,002717.SZ
17,盐湖提锂+业绩高增+资产聚焦,600338,600338.SH
33,,002469,002469.SZ
17,尊界200万新车+华为合作+安徽国资,600418,600418.SH
33,智算云服务+扭亏为盈+华为昇腾,301248,301248.SZ
17,,600965,600965.SH
17,,600810,600810.SH
22,退市保壳+集成灶+ST板块,605336,605336.SH
33,业绩大增+辐射制冷+航天涂料+重庆国资,000565,000565.SZ
17,,600126,600126.SH
17,一季报高增+一带一路+智慧纺纱,605138,605138.SH
22,摘帽预期+扭亏+AI语料+长沙国资,603721,603721.SH
33,IDC并购+算力租赁+液晶显示+间接持股盛合晶微,002289,002289.SZ
22,退市博弈+酱香型白酒+市值低于5亿,600696,600696.SH
17,业绩大增+风电+光刻胶,603125,603125.SH
17,玻璃基板+CPO+MicroLED+商业航天,603773,603773.SH
17,AI算力+汽车PCB+800G光模块,603228,603228.SH
17,内窥镜+海外产能+养老金重仓,688677,688677.SH
33,智算中心+核电+低压电器,002706,002706.SZ
33,,002581,002581.SZ
33,ST板块+新能源EPC+风电项目,300029,300029.SZ
17,超跌反弹+墙布龙头+智能家居窗帘,603272,603272.SH
17,,600633,600633.SH
33,一季报增长+PCB+玻璃芯基板+AI服务器,002134,002134.SZ
22,申请撤销退市风险警示+氢能物流+供应链服务,603813,603813.SH
17,火电+绿电+央企,600396,600396.SH
33,,002898,002898.SZ
17,一季度扭亏+半导体靶材+明月湖项目,688530,688530.SH
17,一季报增长+AMC概念+烟草背景,600830,600830.SH
33,,001234,001234.SZ
22,退市博弈+保健酒+海南国资,600238,600238.SH
33,算力租赁+电子纸+福建国资,002217,002217.SZ
17,机器人+男装+低价股,600400,600400.SH
17,,603937,603937.SH
22,新能源电池配件+轻型输送带+退市博弈,603580,603580.SH
22,,605081,605081.SH
33,,002808,002808.SZ
17,年报增长+机器人+无人机,605118,605118.SH
17,拟控股普赛斯+半导体测试+人形机器人,688001,688001.SH
33,算力租赁+商业航天+智慧交通,000925,000925.SZ
17,理疗机器人+AI大模型+按摩椅+美团合作,603579,603579.SH
33,,001220,001220.SZ
33,铀矿布局+锂资源+石材,002785,002785.SZ
22,,600193,600193.SH
33,铝塑膜+ST摘帽+固态电池,002058,002058.SZ
33,AI算力+800G光模块+磁性元器件+新能源车载,002902,002902.SZ
33,华为昇腾+分销龙头+存储芯片+一季报预增,000062,000062.SZ
17,半导体材料+光刻胶+显影液国产替代+客户拓展,603931,603931.SH
33,,001325,001325.SZ
17,,600864,600864.SH
33,功率半导体+第三代半导体+商业管理,000056,000056.SZ
22,,600289,600289.SH
17,,600346,600346.SH
22,扭亏为盈+三元前驱体+钠电布局,688184,688184.SH
33,,000716,000716.SZ
17,LCOS+光通信+AI终端,603501,603501.SH
17,具身智能+海外高增+年报高增,603486,603486.SH
33,,002528,002528.SZ
22,ST板块+童装童鞋+三胎概念,603557,603557.SH
17,AI漫剧+城市更新+扭亏为盈,605287,605287.SH
33,一季报增长+商业航天+5G中标+AI营销,002115,002115.SZ
