涨停原因类别[20260522],code,股票代码,market_code
,000010,000010.SZ,33
UTG柔性玻璃+光伏玻璃+消费电子,000012,000012.SZ,33
拟收购长空齿轮+激光器零部件+Lumentum合作+精密减速器,000026,000026.SZ,33
锗产品+铅锌铜+广东国资,000060,000060.SZ,33
,000078,000078.SZ,33
间接投资长鑫科技+合肥国资+零售+农批,000417,000417.SZ,33
石英砂+钽锡钨铌+栗木矿复产+氯碱龙头,000510,000510.SZ,33
摘帽+生物医药+园林绿化,000518,000518.SZ,33
电容器+创投+珠海国资,000532,000532.SZ,33
撤销退市风险警示申请+风光储+宁夏国资,000595,000595.SZ,33
,000609,000609.SZ,33
PCB+铜箔+安徽国资,000630,000630.SZ,33
MLCC涨价+AI算力+商业航天+广东国资,000636,000636.SZ,33
PCB微钻扩产+钨矿注入+央企,000657,000657.SZ,33
长江存储代理+半导体分销+重大资产重组,000670,000670.SZ,33
,000677,000677.SZ,33
铟靶材+一季度扭亏+摘帽预期,000711,000711.SZ,33
康宁合作+玻璃基板+AMOLED+北京国资,000725,000725.SZ,33
算力租赁+800G光模块+武汉国资+一季报净利增长,000818,000818.SZ,33
预重整+数字环卫+锂电池,000826,000826.SZ,33
半导体靶材+钽铌制品+商业航天+央企,000962,000962.SZ,33
AI支付+跨境支付+数字身份,000997,000997.SZ,33
机器人应用+输送设备+水泥+一带一路,001225,001225.SZ,33
,001259,001259.SZ,33
猪饲料+禽类饲料+合成生物+董事会换届,001366,001366.SZ,33
特斯拉监督版FSD入华+无人驾驶+车载光学+光学器件,002036,002036.SZ,33
商业航天+金刚石散热+轴承+央企,002046,002046.SZ,33
高速连接器+存储芯片+AI算力,002055,002055.SZ,33
摘帽进展+量子科技+LED封装,002076,002076.SZ,33
AI纤维布+风电叶片+央企背景,002080,002080.SZ,33
,002082,002082.SZ,33
电网设备+储能+机器人,002121,002121.SZ,33
广西国资终止入主+智能物流+精密量具,002175,002175.SZ,33
精纺呢绒+外销占比高+ST摘帽预期,002193,002193.SZ,33
