涨停原因类别[20260527],market_code,股票代码,code
,22,603378.SH,603378
PCB+高阶HDI+定增扩产,33,002579.SZ,002579
黄金矿山+破碎筛分设备+矿山装备,33,001360.SZ,001360
可转债赎回+核电+工业模块,17,605167.SH,605167
白酒+新零售渠道+外资控股,17,600779.SH,600779
机器人+印染+智慧工厂,17,605055.SH,605055
ST板块+预制菜+可转债危机,33,002726.SZ,002726
电网设备+SST+算力+拟发行H股,17,601126.SH,601126
半导体产业链+锆铪分离+核级锆,17,603663.SH,603663
电力+业绩减亏+广东国资,33,000539.SZ,000539
煤炭产销+热电联产+扭亏为盈+央企,17,600726.SH,600726
,17,603223.SH,603223
光模块结构件+可控核聚变+高端成形机床,17,603011.SH,603011
,17,603667.SH,603667
股份转让+林业+算力租赁,22,600265.SH,600265
,33,002717.SZ,002717
,33,002713.SZ,002713
增持+债务重组+产业新城,22,600340.SH,600340
AI服务器电极箔+全球市占率第一+业绩高增,17,603115.SH,603115
,33,002031.SZ,002031
液冷算力+高压快充+多媒体视讯,33,002771.SZ,002771
,22,600180.SH,600180
短剧游戏+AI应用+一季报扭亏,33,300291.SZ,300291
,17,603119.SH,603119
高算力模组+端侧AI+人形机器人+存储芯片,33,002881.SZ,002881
,17,603767.SH,603767
低压电器+数据中心+零碳工厂,33,002706.SZ,002706
算电协同+储能+定增延长,33,000601.SZ,000601
汽车连接器+机器人概念+特斯拉产业链,17,603633.SH,603633
ST板块博弈+流通盘小+墙布,22,603272.SH,603272
,33,002952.SZ,002952
,33,001225.SZ,001225
,33,000609.SZ,000609
MLPC+铝电解电容+AI服务器+新能源,17,603989.SH,603989
,17,603316.SH,603316
安赛蜜涨价+精细化工+境外营收高,17,603968.SH,603968
GLP-1+减肥药+特色原料药+业绩增长,17,603538.SH,603538
,33,002931.SZ,002931
AI算力+储能+一季报增长,17,605289.SH,605289
电力+绿氢+央企,17,600396.SH,600396
植物奶+粉末油脂+一季报增长,17,605300.SH,605300
火电盈利+新能源装机+央企,17,600744.SH,600744
数据中心电源设备+逆变器储能+AI大模型+分红,17,605066.SH,605066
,33,001366.SZ,001366
钼+算力上游+航天上游+洛阳国资,33,001257.SZ,001257
股份协议转让+创新药+一季度增长,33,002082.SZ,002082
申请摘帽+酒水高增+开拓新业务,22,600381.SH,600381
,33,002535.SZ,002535
,17,603661.SH,603661
百货零售+新零售+国企改革,33,000759.SZ,000759
高管增持+家电大店+AI零售,33,002024.SZ,002024
氮化铝+韩国客户+真空灭弧室+可控核聚变,17,600353.SH,600353
,17,600078.SH,600078
短剧游戏+互动影游+AIGC,33,000892.SZ,000892
佛山国资+建筑装饰+亏损收窄,33,002856.SZ,002856
煤炭贸易+司法拍卖+并购重组预期,33,002072.SZ,002072
新能源装机+煤电联营+央企,17,600863.SH,600863
,17,600481.SH,600481
锂电裁切模具+机器人+业绩扭亏,17,603032.SH,603032
AI短剧+字节概念+海外扩张,17,603533.SH,603533
储能并购+燃气运营+年报增长,33,001299.SZ,001299
商业地产+承诺不减持+撤销风险警示,33,000608.SZ,000608
,17,605303.SH,605303
,33,002691.SZ,002691
,17,600783.SH,600783
零售+胖东来调改+摘帽,33,002251.SZ,002251
电解电容器纸+特种纸+储能,33,002012.SZ,002012
提起诉讼+功率半导体,22,600745.SH,600745
,33,002297.SZ,002297
ST博弈+日用玻璃+委托贷款,22,603021.SH,603021
固态断路器+HVDC+数据中心+海外拓展,33,002927.SZ,002927
,33,000417.SZ,000417
广州地产项目+家居商贸+养老服务+低价股,17,600162.SH,600162
电力+煤炭+国企,17,600758.SH,600758
,33,002798.SZ,002798
PCB钻针澄清+显示终端+CCER+拟定增,33,000509.SZ,000509
,22,603959.SH,603959
,17,603278.SH,603278
退市博弈+债务化解+功率半导体,33,000056.SZ,000056
光伏玻璃+低温储藏设备,17,603578.SH,603578
光伏+太空光伏+组件放量,33,002129.SZ,002129
,33,002214.SZ,002214
电子特气+硅基新材料,33,002971.SZ,002971
汽车铝合金轮毂+锂电池回收+股份协议转让,17,603335.SH,603335
,17,600186.SH,600186
碳酸锂+石英晶体+申请撤销退市风险警,33,002199.SZ,002199
股权划转+BIPV+枣庄国资,33,002323.SZ,002323
,17,603226.SH,603226
超级电容+AI服务器+浙江国资+分红,33,002484.SZ,002484
人形机器人+固态电池+锂电池装备,17,603895.SH,603895
,33,002207.SZ,002207
庭外重组+智慧城市+深圳国资,33,002528.SZ,002528
,33,000010.SZ,000010
