code,涨停原因类别[20260605],market_code,股票代码
600207,光伏玻璃+拟控股弘诺玻璃+河南国资,17,600207.SH
300334,膜技术+工业水处理+一季报增长,33,300334.SZ
300626,机器人+换向器+地方国企+控股股东股权转让,33,300626.SZ
603823,除权除息+PEEK材料+光刻胶颜料,17,603823.SH
920961,重大资产重组+卫星导航+通信测试,151,920961.BJ
603124,股权激励+液冷散热+铜基新材料+一季报增长,17,603124.SH
002892,机器人+伺服系统+定增,33,002892.SZ
600726,,17,600726.SH
002613,玻璃深加工+钙钛矿设备+建筑节能,33,002613.SZ
002877,智能控制阀+新能源+一季报增长,33,002877.SZ
600265,,22,600265.SH
600552,超薄柔性玻璃UTG+纳米钛酸钡+商业航天+央企,17,600552.SH
002631,柔性屏+石墨烯+亏损收窄,33,002631.SZ
002983,MiniLED+AI眼镜+华为供应链,33,002983.SZ
001256,包装印刷+新品发布+一季报增,33,001256.SZ
002471,中标电力电缆项目+商业航天+高温合金,33,002471.SZ
600714,液晶玻璃基板上游+锶盐+天青石矿+国家电投入主,17,600714.SH
002329,,33,002329.SZ
600180,,22,600180.SH
003036,电子布纺织机+纺织机器人+固态电池+高端纺机,33,003036.SZ
002387,ViP技术+AMOLED+合肥国资,33,002387.SZ
600996,算力+广电5G+贵州国资,17,600996.SH
002694,塑料管道+智慧管网+*ST板块,33,002694.SZ
688056,半导体检测+质谱仪+科学仪器,17,688056.SH
603360,半导体设备+芯慧联+工业杀菌剂,17,603360.SH
603790,参股PEEK+染助一体化+除权除息+业绩增长,17,603790.SH
603559,,22,603559.SH
603681,,17,603681.SH
002138,元件+AI电感+钽电容+垂直供电,33,002138.SZ
000609,拟收购北京天微100%股权+控股股东财务资助+半导体封测,33,000609.SZ
603725,机器人+电子皮肤+高分子新材料+承诺不减持,17,603725.SH
000517,房地产开发+长三角深耕+以旧换新,33,000517.SZ
002786,半导体封装+总经理增持+中央汇金,33,002786.SZ
600228,摘帽申请+AI导购+效果营销,22,600228.SH
001400,商业航天+3D打印液冷+铝挤压模具+一季报增长,33,001400.SZ
002903,机器人+工业母机+消费电子+汽车零部件,33,002903.SZ
000759,零售+AI智能超市+武汉国资,33,000759.SZ
603500,超级电容+轨交扣件+产能扩张,17,603500.SH
301151,液冷服务器+雅江工程+节水阀门,33,301151.SZ
002951,,33,002951.SZ
603629,,17,603629.SH
301193,股权激励+3D打印耗材+可降解塑料,33,301193.SZ
603270,人形机器人+减速器+柔轮初坯+新能源定转子,17,603270.SH
603938,光纤材料+存储芯片+硅基材料,17,603938.SH
002960,消防机器人+人形机器人+更名,33,002960.SZ
603159,特斯拉概念+新能源汽车+精密塑料模具+股东未减持,17,603159.SH
603578,光伏玻璃+低温储藏设备+战略转型预期,17,603578.SH
600243,减速器+电梯配件+公积金弥补亏损+ST板块,22,600243.SH
600973,高速线缆+售电业务+可控核聚变+央企,17,600973.SH
002708,机器人+关节模组+拟收购PCB标的+地方国资,33,002708.SZ
600730,,22,600730.SH
603595,,22,603595.SH
002354,物理AI+具身智能+算力租赁+AI应用,33,002354.SZ
000010,庭外重组+一季报扭亏+建筑工程,33,000010.SZ
603888,拟投资建设“新华语典”+时政资讯+AI智能体+国企改革,17,603888.SH
002896,人形机器人+精密减速器+海外布局,33,002896.SZ
603020,收购进展+香精香料+一季度增长,17,603020.SH
002254,光纤+芳纶涂覆+半固态电池+国企,33,002254.SZ
600293,电子玻璃+高端玻璃转型+硅材料基地+宜昌国资,17,600293.SH
002183,英特尔合作+AI算力+存储芯片+深圳国资,33,002183.SZ
600303,燃料电池客车+海外拓展+军工,17,600303.SH
