股票代码,涨停原因类别[20260608],code,market_code
002848.SZ,,002848,33
002957.SZ,,002957,33
000833.SZ,硫铁矿+光伏银粉+广东国资,000833,33
603890.SH,,603890,17
002579.SZ,,002579,33
002963.SZ,智慧文旅+智慧光艺+数字孪生+充换电,002963,33
688549.SH,电子特气+存储芯片材料+增持+一季报扭亏为盈,688549,17
002164.SZ,机器人+精密减速器+小批量供货,002164,33
688083.SH,探索物理AI+三维CAD+AI应用+鸿蒙适配,688083,17
603823.SH,PEEK材料+光刻胶颜料+除权除息,603823,17
003019.SZ,,003019,33
000785.SZ,AI应用+优必选+智能家居+零售,000785,33
603124.SH,,603124,17
603929.SH,半导体洁净室+东南亚布局+一季报倍增,603929,17
002613.SZ,玻璃深加工+钙钛矿设备+真空镀膜高增,002613,33
002636.SZ,覆铜板满产满销+定增高等级覆铜板+一季报增长,002636,33
605177.SH,,605177,17
600280.SH,百货零售+罗森便利店+中华老字号,600280,17
002501.SZ,,002501,33
002362.SZ,具身智能+仿生飞行器+AI应用,002362,33
603778.SH,光伏+固态电池+异质结,603778,17
000068.SZ,工业机器人销售+海绵城市+环保转型+山西国资,000068,33
600180.SH,,600180,22
603616.SH,拟收购PEEK龙头+PCCP+中标大单,603616,17
002046.SZ,金刚石散热+机器人轴承+商业航天+央企,002046,33
300197.SZ,重大资产重组+生态环保+央企,300197,33
600488.SH,拟收购津药物流+甾体激素原料药+创新药早期管线,600488,17
603989.SH,,603989,17
601588.SH,会展+京津冀地产+北京国资+亏损收窄,601588,17
002931.SZ,优必选入主+优必选发布仿生人形机器人+机器人概念,002931,33
000960.SZ,,000960,33
000517.SZ,房地产开发+长三角+以旧换新,000517,33
002227.SZ,,002227,33
603267.SH,,603267,17
300737.SZ,,300737,33
600721.SH,金华国资入主+CRO+复杂制剂,600721,17
603112.SH,,603112,17
002015.SZ,,002015,33
605162.SH,,605162,17
000759.SZ,AI智能超市+零售超市+武汉国资,000759,33
001696.SZ,低空经济+资产重组+航空发动机+分红,001696,33
603500.SH,超级电容+轨交扣件+产能扩张,603500,17
001238.SZ,户外家具+星空篷+跨境电商,001238,33
002951.SZ,,002951,33
002747.SZ,人形机器人+工业机器人出货量第一+具身智能,002747,33
603629.SH,,603629,17
301302.SZ,物理AI+模训器材+军事大模型+航天复合材料,301302,33
603669.SH,创新药+阿尔茨海默+一季报扭亏,603669,17
603330.SH,,603330,17
002897.SZ,,002897,33
001258.SZ,,001258,33
002490.SZ,海外油气大单+石油装备+山东国资,002490,33
603021.SH,,603021,22
301313.SZ,物理AI+具身智能+数字孪生,301313,33
600537.SH,,600537,22
603278.SH,人形机器人+腱绳+胎圈钢丝+商业航天,603278,17
002943.SZ,,002943,33
002096.SZ,,002096,33
600730.SH,,600730,22
002323.SZ,,002323,33
002354.SZ,物理AI+具身智能+算力租赁+AI应用,002354,33
002207.SZ,,002207,33
002396.SZ,,002396,33
002598.SZ,国资入主+机器人+罗茨鼓风机+ST板块,002598,33
002982.SZ,黄羽肉鸡+预制菜+转债回售,002982,33
603378.SH,ST板块+建筑涂料+重整预期,603378,22
002976.SZ,,002976,33
002254.SZ,光纤+芳纶涂覆+半固态电池+国企,002254,33
000711.SZ,,000711,33
002726.SZ,,002726,33
301195.SZ,巡检机器人+矿山智驾+业绩扭转,301195,33
300376.SZ,AIDC供电+储能+国资入主,300376,33
603002.SH,,603002,17
002717.SZ,罚单落地+面值退市博弈+生态文旅,002717,33
920578.BJ,机器人+柔性制造+新能源汽车零部件,920578,151
000970.SZ,稀土永磁+人形机器人+中科院,000970,33
600382.SH,,600382,17
600791.SH,,600791,17
001267.SZ,,001267,33
603203.SH,TCB热压键合设备+先进封装+精密焊接+光模块,603203,17
002581.SZ,,002581,33
603272.SH,,603272,22
603859.SH,物理AI+具身智能+商业航天+AI应用,603859,17
001317.SZ,物流+小米汽车+跨境电商,001317,33
001330.SZ,,001330,33
600119.SH,,600119,22
003009.SZ,商业航天+小型制导火箭+一季度扭亏+央企,003009,33
002361.SZ,商业航天+聚酯树脂+芜湖国资,002361,33
603135.SH,机器人+商业航天+海外订单,603135,17
920510.BJ,人形机器人+谐波减速器+一季报增长,920510,151
603678.SH,,603678,17
002667.SZ,,002667,33
603206.SH,AI算力+训推一体机+华为合作,603206,17
603877.SH,服装+高分红+大股东增持,603877,17
600539.SH,拟收购利珀科技+半导体封装+机器视觉+AI应用,600539,17
002856.SZ,庭外重组+建筑装饰+佛山国资,002856,33
600187.SH,中标1.97亿+污水处理+股份回购,600187,22
002969.SZ,,002969,33
603311.SH,,603311,17
600581.SH,资产剥离+定增修订+中亚出口+钢铁,600581,22
000620.SZ,存储芯片+长兴半导体+文旅转型,000620,33
600825.SH,阶跃星辰（已澄清）+图书发行+年报分红+上海国资,600825,17
002058.SZ,,002058,33
603285.SH,,603285,17
600403.SH,焦煤+煤炭开采+河南国资,600403,17
603067.SH,,603067,17
603843.SH,绿色算力+矿业+预重整,603843,22
002421.SZ,AI Agent 2.0+AIoT平台+液冷,002421,33
002514.SZ,,002514,33
300105.SZ,氢煤混烧突破+央企,300105,33
000733.SZ,,000733,33
002975.SZ,,002975,33
603186.SH,覆铜板+AI算力+定增扩产,603186,17
688207.SH,机器视觉+机器人概念+AI应用,688207,17
600505.SH,绿色电力+一季报增长+央企,600505,17
