股票代码,code,涨停原因类别[20260610],market_code
000558.SZ,000558,冰雪旅游+影旅融合+成都国资,33
000048.SZ,000048,协议转让+生猪养殖+猪价反弹+机器人,33
002055.SZ,002055,,33
000025.SZ,000025,黄金珠宝数字化+物业租赁+深圳国资,33
600165.SH,600165,重整完成+生物法长链二元酸+摘帽预期,22
603823.SH,603823,光刻胶颜料+PEEK材料+有机颜料龙头,17
002409.SZ,002409,半导体前驱体+HBM+存储芯片,33
600592.SH,600592,,17
600703.SH,600703,,17
603359.SH,603359,,22
002636.SZ,002636,覆铜板+电子布涨价+满产满销,33
001316.SZ,001316,AI航检眼镜+可转债+航空器材,33
600280.SH,600280,,17
002501.SZ,002501,,33
002547.SZ,002547,,33
002713.SZ,002713,,33
002977.SZ,002977,,33
603757.SH,603757,,17
002459.SZ,002459,光伏组件+储能+光储一体化,33
600180.SH,600180,,22
001210.SZ,001210,数据中心供冷+综合能源服务+新能源供热,33
603065.SH,603065,跨界磷化铟衬底+光稳定剂,17
688216.SH,688216,先进封装+定增扩产+存储芯片,17
002430.SZ,002430,工业气体+氦气+氢能+杭州国资,33
600732.SH,600732,BC电池+海外订单饱满+产能出清预期,17
003043.SZ,003043,半导体设备+固态电池+精密金属结构件+转债预计触发赎回,33
600302.SH,600302,控制权拟变更+组织架构调整+缝制机器人+西安国资,22
603276.SH,603276,锂电电解液+化工+一季报增长+分红除权,17
002585.SZ,002585,MLCC离型膜+复合铜箔+扭亏为盈,33
000838.SZ,000838,,33
605589.SH,605589,PPO树脂+PCB上游+先进封装,17
000609.SZ,000609,,33
002657.SZ,002657,AI应用+算力服务+金融科技,33
002227.SZ,002227,,33
603160.SH,603160,超声波指纹+消费电子+半导体,17
600981.SH,600981,大宗商品供应链+跨境电商+参股期货+江苏国资,17
603886.SH,603886,端午消费+IP经济+烘焙食品,17
600058.SH,600058,并购重组+铁矿资产置入+央企,17
002082.SZ,002082,,33
002015.SZ,002015,,33
603825.SH,603825,,22
603661.SH,603661,投资GPU公司+培育钻石+家居用品+出口,17
002620.SZ,002620,,33
002733.SZ,002733,,33
002951.SZ,002951,,33
603629.SH,603629,,17
600678.SH,600678,,22
002261.SZ,002261,华为昇腾+算力+AI应用+机器人,33
600636.SH,600636,,21
002119.SZ,002119,封装材料+引线框架+产能满产+回购,33
603459.SH,603459,,17
600206.SH,600206,半导体靶材+存储芯片+央企,17
300721.SZ,300721,湿电子化学品+芯片概念+环氧丙烷,33
603021.SH,603021,,22
002125.SZ,002125,锰酸锂龙头+固态电池+一季报增长,33
603822.SH,603822,生物航煤+环保增塑剂+分红除权,22
002830.SZ,002830,家装龙头+成立AI公司+高送转,33
603938.SH,603938,高纯四氯化硅+光纤材料+存储芯片+一季报增长,17
002960.SZ,002960,消防机器人+人形机器人+回购,33
605006.SH,605006,电子纱+风电纱+山东国资+转债强赎,17
600698.SH,600698,涡轮增压器+电子水泵+兵装重组+国企,17
600973.SH,600973,,17
002971.SZ,002971,六氟化钨+电子特气+硅基新材料,33
600843.SH,600843,低空经济+机器人+缝制设备,17
000610.SZ,000610,,33
002354.SZ,002354,物理AI业务澄清+具身智能数据集+AI应用,33
002207.SZ,002207,,33
601718.SH,601718,,22
000010.SZ,000010,,33
001332.SZ,001332,可控核聚变+非标金属压力容器+一季报增长+高送转,33
605318.SH,605318,AI智算+算力调度+装配式建筑,17
002225.SZ,002225,,33
601678.SH,601678,环氧丙烷+电子级氢氟酸+半导体上游+氟化工,17
603378.SH,603378,,22
688456.SH,688456,散热铜粉+MLCC+一季度增长+央企,17
600759.SH,600759,,22
600255.SH,600255,,17
603435.SH,603435,,17
002669.SZ,002669,电子树脂+覆铜板上游+胶粘剂+唐山国资,33
688485.SH,688485,金刚石半导体+收购半导体公司+光纤+轨交减振降噪,17
000677.SZ,000677,,33
000820.SZ,000820,,33
000029.SZ,000029,权益分派+房地产+深圳国资,33
000711.SZ,000711,,33
002726.SZ,002726,,33
600370.SH,600370,PTA-瓶级聚酯切片+ST板块+一季度扭亏,22
603011.SH,603011,光模块结构件+CCL/PCB层压设备+高端成形机床,17
600378.SH,600378,六氟化钨+PCB概念+氟化工+央企,17
600229.SH,600229,IP运营+二次元+AI技术应用+国企改革,17
603002.SH,603002,高速覆铜板+环氧树脂+先进封装,17
603220.SH,603220,中标7.4亿项目+算力租赁+光模块,17
002165.SZ,002165,环氧丙烷+技改临近+绿色建材+出海,33
603375.SH,603375,电子雷管+存储芯片+低空经济+汽车科技,17
000970.SZ,000970,人形机器人+轴向磁通电机+稀土永磁+中科院,33
600965.SH,600965,,22
600573.SH,600573,啤酒高端化+一季报增长+北京国资,17
600665.SH,600665,跨界并购+长租公寓运营+国企改革,17
300264.SZ,300264,音视频软件+《仙剑奇侠传》IP+MR,33
000488.SZ,000488,浆纸一体化+摘帽预期+一季报减亏,33
600696.SH,600696,,21
600593.SH,600593,回购注销+冰雪旅游+一季报扭亏+大连国资,17
600178.SH,600178,兵装重组+增程动力+华为合作+央企,17
002581.SZ,002581,,33
603272.SH,603272,,22
003026.SZ,003026,半导体硅片+抛光硅片+一季报增长,33
000534.SZ,000534,,33
600396.SH,600396,,17
600337.SH,600337,,22
605018.SH,605018,,17
603158.SH,603158,,17
603135.SH,603135,,17
688662.SH,688662,Micro TEC+CPO+产能扩张+业绩说明会,17
600578.SH,600578,,17
002667.SZ,002667,,33
002512.SZ,002512,,33
002256.SZ,002256,光伏+收购新能源运维公司+盐湖提锂,33
603636.SH,603636,算力租赁+Token工厂+AI政务+华为合作,17
605081.SH,605081,,21
002856.SZ,002856,,33
600187.SH,600187,,22
000078.SZ,000078,,33
603319.SH,603319,,17
002208.SZ,002208,间接投资长鑫科技+房地产+合肥国资,33
600500.SH,600500,芳纶+PPE树脂+央企,17
600745.SH,600745,,22
600088.SH,600088,微短剧+影视传媒+一季报增长+央企,17
003030.SZ,003030,预制菜+魔芋+人造肉+豆制品,33
002851.SZ,002851,,33
600881.SH,600881,创新药+公开挂牌转让+资产出售+长春国资,17
002081.SZ,002081,洁净室+海外大单+建筑装饰,33
000826.SZ,000826,,33
600162.SH,600162,,17
002757.SZ,002757,算力租赁+AI推理+数据中心,33
603155.SH,603155,半导体材料+高纯四氯化硅+光纤概念+国企改革,17
000639.SZ,000639,,33
002514.SZ,002514,,33
603959.SH,603959,,22
000056.SZ,000056,,33
000815.SZ,000815,算力+业绩增长+央企,33
603687.SH,603687,GPU投资+钙钛矿设备+烟酒包装,17
