code,股票代码,涨停原因类别[20260814],market_code
002418,002418.SZ,算力+液冷+家电,33
003031,003031.SZ,电子陶瓷+CPO+央企,33
600198,600198.SH,安全芯片+卫星通信+央企,17
688286,688286.SH,MEMS传感器+人形机器人,17
603618,603618.SH,光纤光缆+定增扩产+PCB铜箔,17
300017,300017.SZ,CDN涨价+液冷+算力租赁+边缘AI,33
603118,603118.SH,数据中心交换机+机器人+网通设备+唐山国资,17
603137,603137.SH,,17
000936,000936.SZ,间接参股光芯片+磷化铟+涤纶化纤+创投,33
002774,002774.SZ,股份过户+印度地铁订单+电梯出口,33
300684,300684.SZ,中际旭创入股+CPO散热+液冷服务器,33
688485,688485.SH,半导体切割+光纤传感+声纹监测,17
002645,002645.SZ,稀土永磁+机器人概念+中报预增,33
600288,600288.SH,机器视觉+半导体+半年报预计扭亏,17
301130,301130.SZ,创新药+瑞香素+化学制药,33
002726,002726.SZ,预重整+猪肉+预制菜+半年报减亏,33
002651,002651.SZ,商业航天+军工+分红提议,33
001260,001260.SZ,汽车软内饰+海外产能+新能源客户,33
603095,603095.SH,AI验布机+纺织机械+高端装备,17
920083,920083.BJ,导热粉体+光模块导热应用+次新股,151
600487,600487.SH,光纤光缆+硅光芯片+CPO+海洋通信,17
603682,603682.SH,,17
600613,600613.SH,化学制药+抗肿瘤+感冒止咳,17
600936,600936.SH,,17
000582,000582.SZ,,33
603079,603079.SH,维生素+合成生物+生物保鲜剂,17
603115,603115.SH,AI服务器+电极箔+全球龙头+中报预增,17
300929,300929.SZ,净水概念+BAF污水处理+股东增持,33
603696,603696.SH,,17
000593,000593.SZ,,33
002811,002811.SZ,MEMS芯片+室内设计+订单高增,33
603089,603089.SH,机器人概念+汽车减震器龙头+定增完成,17
002172,002172.SZ,脑机接口+医疗服务+国企改革,33
603725,603725.SH,回购+机器人+电子皮肤+高分子饰面材料,17
603989,603989.SH,MLPC+铝电解电容+AI服务器+算力,17
002907,002907.SZ,临床试验批准+青光眼+创新药+中成药,33
002766,002766.SZ,重大合同+智能舱驾+5G,33
000831,000831.SZ,稀土+半年报增长+央企,33
688662,688662.SH,CPO+Micro TEC+产能扩张,17
300120,300120.SZ,专网通信+电磁线+液晶显示+收购完成,33
601609,601609.SH,算力散热+液冷服务器+铜加工龙头+稀土,17
603758,603758.SH,,17
603177,603177.SH,钠电池+大气治理+环保催化剂,17
600645,600645.SH,细胞治疗+精准诊断+创新药,17
000950,000950.SZ,医药商业+创新药+央企背景,33
600683,600683.SH,,17
002628,002628.SZ,萤石矿+机器人+氟化工+中标基建,33
600272,600272.SH,SPD+医药商业+资产收购+上海国资,17
600353,600353.SH,氮化铝+可控核聚变+光刻机+真空灭弧室,17
002724,002724.SZ,照明+智慧灯杆+物联网,33
603382,603382.SH,尼龙6+涤纶工业丝+智能制造,17
002988,002988.SZ,机器人轻量化+液冷散热+汽车轻量化+定增获批,33
002322,002322.SZ,半年报增长+高分红+AI应用,33
002047,002047.SZ,,33
002951,002951.SZ,超级电容+储能+中报预计减亏,33
301419,301419.SZ,CPO+存储芯片+导热材料,33
603629,603629.SH,算力租赁+英伟达合作+中报预增,17
603330,603330.SH,CPO+电子胶+半年报预盈,17
002658,002658.SZ,半导体气体检测+碳监测+商业航天检测,33
000620,000620.SZ,存储芯片+AI算力+转型科技,33
002081,002081.SZ,洁净室+参建数据中心+海外业务+建筑装饰龙头,33
600829,600829.SH,医药商业+DTP药房+半年报增长,17
002400,002400.SZ,,33
603083,603083.SH,高速光模块+CPO+中报预增,17
603881,603881.SH,算力租赁+智算转型+上海国资,17
603025,603025.SH,半年报增长+缝制电控龙头+机器人+算力,17
300404,300404.SZ,中药创新药+CRO+战略合作,33
600815,600815.SH,工程机械+军工+厦门国资,17
300862,300862.SZ,拟收购岚创科技+真空镀膜设备+环境监测+低空经济,33
600186,600186.SH,算力租赁+阶跃星辰+类ABF膜+调味品,17
002989,002989.SZ,FCBGA封装基板+半导体转型+浙江国资,33
002820,002820.SZ,中华老字号+大消费+国企改革,33
603186,603186.SH,覆铜板+AI算力+定增受理+半年报预增,17
600769,600769.SH,存算基地+供水+武汉国资,17
